LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000998549 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1800   -951.04357            0   -900.78722   -114161.75    5330.9442 
    3200    1883.6628    -941.3514            0   -888.75917    5537.4059    4634.5184 
Loop time of 2.26223 on 1 procs for 3200 steps with 217 atoms

Performance: 366.648 ns/day, 0.065 hours/ns, 1414.536 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1531     | 2.1531     | 2.1531     |   0.0 | 95.17
Neigh   | 0.060049   | 0.060049   | 0.060049   |   0.0 |  2.65
Comm    | 0.015219   | 0.015219   | 0.015219   |   0.0 |  0.67
Output  | 2.4826e-05 | 2.4826e-05 | 2.4826e-05 |   0.0 |  0.00
Modify  | 0.02892    | 0.02892    | 0.02892    |   0.0 |  1.28
Other   |            | 0.004946   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4152 ave 4152 max 4152 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8304 ave 8304 max 8304 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8304
Ave neighs/atom = 38.2673
Neighbor list builds = 102
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.663 | 9.663 | 9.663 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -941.3514    52.592225   -888.75917    1883.6628    5537.4059    2.1761286            0 3.555124e-32 
    3300     -943.707    50.047723   -893.65928     1792.528    -11369.37    2.1348952   0.30499817   0.12560647 
    3400   -937.75688    52.202927   -885.55395    1869.7195    2313.7923    2.1554087   0.42662149   0.11773553 
    3500   -937.15839    52.897896    -884.2605    1894.6108    8213.7598    2.1767538   0.97302588   0.14104645 
    3600   -940.62533    46.714435    -893.9109    1673.1417   -6627.7954    2.1458397   0.22334514   0.13313374 
    3700   -938.46028    47.615742   -890.84453    1705.4232   -493.23913    2.1562594   0.17142932   0.11639551 
    3800   -938.96921    54.432752   -884.53646    1949.5838     6555.509    2.1735502   0.12610707   0.11079043 
    3900   -941.97106    49.730718   -892.24034     1781.174   -5612.8551    2.1487931     0.120893   0.13230702 
    4000   -942.85754    48.738674   -894.11887    1745.6426   -7462.5565    2.1504214   0.23989496   0.13735841 
    4100   -942.65614    56.487564   -886.16858    2023.1797     8064.713    2.1785929   0.64751556   0.14737503 
    4200    -943.8689    52.144881   -891.72402    1867.6405   -2714.9647    2.1583263   0.31191292   0.12571535 
    4300   -942.19709     44.12557   -898.07152    1580.4179   -6593.3691    2.1529316   0.41433291   0.14467008 
    4400    -939.0927    50.780878   -888.31182    1818.7869    3507.9273    2.1696591    0.2806462   0.14127832 
    4500    -943.3503    54.559072   -888.79123    1954.1081    2641.8755    2.1731265   0.17630839   0.15038691 
    4600    -942.9389    46.350706   -896.58819    1660.1142   -7297.9341    2.1497931   0.25397302   0.16135238 
    4700   -939.64404    50.705687   -888.93836    1816.0938    1141.7004    2.1612451   0.42324011   0.15227268 
    4800   -939.25809    53.049814   -886.20828    1900.0519    8205.2166    2.1758355   0.57190269   0.14230997 
    4900   -941.32537    47.133257   -894.19211    1688.1423   -5364.9777    2.1526403   0.39089756   0.15677181 
    5000   -938.86376    50.480769   -888.38299    1808.0381   -2531.5657    2.1483048  0.058499801   0.14669523 
    5100   -938.94443    55.246552   -883.69788    1978.7311    3873.8183    2.1672873   0.33374564   0.15555005 
    5200   -940.80684    48.443766   -892.36307      1735.08    299.48573    2.1625747   0.14702776   0.15868456 
    5300   -938.12834    47.418284   -890.71006     1698.351   -3784.6196     2.147217   0.47360334    0.1628308 
    5400   -939.98473    57.978814   -882.00591    2076.5908   -2470.0033    2.1551037   0.33800803   0.14935732 
    5500   -943.87827    52.113396   -891.76487    1866.5129    4267.1845    2.1798899   0.18967169   0.13296255 
    5600   -944.22477    51.819381   -892.40539    1855.9823   -9840.4228    2.1435427   0.22788945   0.14680781 
    5700   -936.50828    51.400431   -885.10785     1840.977   -466.56533    2.1517576   0.14014918    0.1578811 
    5800   -945.82217    52.293604   -893.52856    1872.9672    9081.4475    2.1927052  0.071907031   0.14770988 
    5900   -942.14003    48.279523   -893.86051    1729.1974   -6109.1561    2.1518164  0.099224266   0.15678433 
    6000   -940.20877     52.35917    -887.8496    1875.3156   -6314.1947    2.1473666   0.70350925   0.14431071 
    6100   -941.85621    49.872694   -891.98352     1786.259    7098.8431     2.186069   0.19895778   0.13742863 
    6200   -943.78101    47.049604   -896.73141    1685.1462    1621.5421    2.1751489   0.28961074   0.14354742 
    6300   -934.43067    46.003751   -888.42692    1647.6875   -5258.0003    2.1378062   0.48115735   0.16529438 
    6400   -939.87769    50.740386    -889.1373    1817.3366    6315.5998    2.1747775   0.21584998   0.15098977 
    6500   -941.57139    45.683553   -895.88783    1636.2192    9162.3302    2.1904177   0.05229817   0.13929747 
    6600   -937.28012    51.169247   -886.11087    1832.6969   -13307.359    2.1203577   0.37638075   0.14863433 
    6700   -937.54881    49.191412    -888.3574     1761.858    2747.3725     2.162296   0.17039733   0.13229065 
    6800   -941.93923    50.366118   -891.57311    1803.9317    16691.073    2.2054636   0.15511454   0.13242802 
    6900   -936.38189    48.299322   -888.08257    1729.9066   -8852.3251    2.1274476    0.2214193   0.15880157 
    7000    -936.6715     51.82104   -884.85046    1856.0417   -11758.212     2.126639   0.24668333   0.14986963 
    7100   -944.11371    53.568263   -890.54545    1918.6209    14745.574    2.2043622   0.35158726   0.12886986 
    7200   -942.41851    49.324881   -893.09363    1766.6384   -670.27551    2.1650262   0.54860473   0.12046387 
    7300   -936.94976    51.725423   -885.22433    1852.6171   -8480.4998    2.1302078   0.14356824   0.13975454 
    7400   -940.98631    47.592922   -893.39339    1704.6059    4753.6703    2.1760316   0.27923616   0.13268605 
    7500   -943.06466    49.292841   -893.77182    1765.4908    1098.5882    2.1723152   0.24110885   0.13415739 
    7600   -937.91409    50.588622   -887.32547     1811.901   -4768.3783    2.1497153    0.2599654   0.14807021 
    7700   -941.54202    50.929533   -890.61249    1824.1112   -15.751897    2.1604774    0.3387248   0.13784448 
    7800   -941.54203    46.159965   -895.38206    1653.2826    6046.5759    2.1848016   0.57435558    0.1383823 
    7900   -940.59355    53.867556     -886.726    1929.3405   -2105.7399    2.1530199   0.68489796   0.13005627 
    8000   -942.53105    52.374638   -890.15641    1875.8696   -5255.5756    2.1533122   0.20713879   0.12675845 
    8100   -946.77218    51.377523   -895.39466    1840.1566    5464.7766    2.1852541   0.32004077   0.12263114 
    8200   -941.70067    56.476698   -885.22397    2022.7905   -4282.8494    2.1512986   0.19350143   0.12423133 
    8300   -941.81812    52.311243   -889.50687     1873.599   -5084.0091    2.1474721    0.4143801   0.12934313 
    8400   -943.70503    49.870589   -893.83444    1786.1836     4675.188    2.1784517   0.59258191   0.12979873 
    8500   -935.84004    51.125317   -884.71472    1831.1235    6411.4224    2.1653448   0.18181936   0.13379191 
    8600   -940.25335    53.301819   -886.95153    1909.0779    -6461.697    2.1411213   0.44501502   0.14437153 
    8700   -938.38348    44.239885   -894.14359    1584.5123   -658.54975    2.1594916   0.30139202   0.14027734 
    8800   -939.13534    51.093734    -888.0416    1829.9923    11301.318    2.1857053   0.49387693   0.14165961 
    8900   -936.79337    51.076269    -885.7171    1829.3667   -3697.8448    2.1419155   0.39995108   0.14668799 
    9000   -946.37556      50.2423   -896.13326     1799.497   -11322.311    2.1461289   0.30951865    0.1299252 
    9100   -940.41193    49.880538   -890.53139      1786.54    9915.1144    2.1874399  0.063801248   0.14834122 
    9200   -939.15689    53.390562   -885.76633    1912.2563     1877.683    2.1625386  0.051568914    0.1525544 
    9300   -940.03548     49.20606   -890.82942    1762.3826   -13339.519    2.1287109   0.13170601   0.15061498 
    9400   -942.59639    48.350839   -894.24555    1731.7517    5101.7141    2.1801843   0.21284145   0.16007219 
    9500   -938.37466    52.696652   -885.67801     1887.403    8105.1319    2.1771395   0.22367228   0.15815391 
    9600   -938.20924    47.889331   -890.31991    1715.2221   -6667.6021    2.1379138   0.40253291   0.16708613 
    9700   -947.01187    50.687633   -896.32424    1815.4472   -2885.8439    2.1662367   0.21754739   0.11796338 
    9800   -932.84821    46.295917    -886.5523    1658.1519    7214.0364    2.1723332   0.14843894   0.14649687 
    9900   -940.25339    51.533595   -888.71979    1845.7465    -3836.015    2.1564945   0.06551758   0.14936658 
   10000   -941.36287    46.555545   -894.80732    1667.4508   -3282.6679     2.159005   0.19724654   0.15104152 
   10100   -938.27035    48.872699   -889.39765    1750.4428    5083.9951    2.1692528   0.52706671   0.14844653 
   10200   -938.42403    52.343408   -886.08062     1874.751   -1956.1501    2.1547765   0.36936811   0.14918895 
   10300   -942.36728    48.579477   -893.78781    1739.9407   -5223.0352    2.1527806   0.31980288   0.13277439 
   10400   -941.73659     53.09489    -888.6417    1901.6664    329.32309    2.1624177  0.017339397   0.12838955 
   10500   -938.17883    53.330702   -884.84813    1910.1123    622.31276     2.153586   0.42246536    0.1426761 
   10600   -942.64407    48.559973    -894.0841    1739.2421   -1344.2781    2.1601696   0.81715627   0.12239403 
   10700   -941.56454    52.179562   -889.38497    1868.8827   -2001.2523    2.1548893   0.80541981   0.13015194 
   10800   -935.92531    51.973393   -883.95191    1861.4985    1278.8805    2.1528724   0.40663216    0.1308398 
   10900   -942.14428     47.68121   -894.46307     1707.768    3978.4242     2.170749   0.38480811   0.12241271 
   11000   -939.06299    48.396864   -890.66613    1733.4001   -3377.7796    2.1468868   0.13919308   0.13984579 
   11100   -937.95912    52.673165   -885.28595    1886.5617    2635.1344    2.1546312  0.054384547   0.14984877 
   11200   -943.89067    49.206203   -894.68447    1762.3877    4532.4638    2.1790833   0.11080035   0.12572127 
   11300   -936.80508    46.975295   -889.82979    1682.4847   -6724.3493    2.1391603    0.2342246   0.13463727 
   11400   -935.11244    48.867113   -886.24532    1750.2428   -270.50278    2.1483982     2.119079   0.14586701 
   11500    -942.7768    52.696774   -890.08002    1887.4073    3838.3279    2.1781917    4.9533786   0.15502128 
   11600   -946.74903    50.155416   -896.59361    1796.3851   -4344.6947    2.1608484    6.1076485   0.16918348 
   11700   -936.80668    50.217219   -886.58947    1798.5987   -9359.6368     2.123399      5.28808   0.16373636 
   11800   -940.55813    53.831068   -886.72707    1928.0336    8509.5014      2.17972     5.831535   0.15884659 
   11900   -940.26492    47.540011    -892.7249    1702.7108    4126.5437    2.1728155    6.1488167   0.15250168 
   12000    -934.0637    49.148282   -884.91541    1760.3132    -8678.208    2.1205938    7.5204068   0.17902621 
   12100   -939.50523    55.831623   -883.67361    1999.6862    563.09285    2.1569754    11.722052   0.16384447 
   12200   -940.34141    50.347268   -889.99414    1803.2566    6147.6745    2.1767313    5.7091567   0.14750678 
   12300   -943.26755    52.812232   -890.45532    1891.5426   -6245.1927    2.1447445    5.7944857    0.1640881 
   12400   -929.95086    49.806173   -880.14469    1783.8765    325.29153    2.1407014    8.3136121   0.18710466 
   12500   -938.41219    48.874173   -889.53802    1750.4957    8210.2387    2.1772034    5.5913113   0.16514874 
   12600   -940.19883    49.361554   -890.83727    1767.9519   -5155.4678    2.1487222    6.4508885   0.15516206 
   12700   -937.74061    52.969214   -884.77139    1897.1651   -953.33872    2.1480642    6.0341084   0.16502956 
   12800   -942.78439    49.761984   -893.02241    1782.2938    1711.8585    2.1691083    4.0679566   0.15207228 
   12900   -938.76485    46.146823   -892.61803    1652.8119    986.50136    2.1609185    5.9155435   0.16164694 
   13000    -938.5433    52.646527   -885.89677    1885.6077     2238.649    2.1577043    4.6296166   0.15170989 
   13100   -937.39563    48.876653   -888.51897    1750.5844    697.01392    2.1555259    4.1170282   0.15851734 
   13200   -942.74688    47.932744   -894.81414    1716.7771    437.59569    2.1672482    8.7411588   0.15803915 
   13300   -940.79488    53.983466   -886.81141     1933.492   -4526.5096    2.1545069    6.7388405   0.16612876 
   13400   -935.74663    47.622271   -888.12436     1705.657    1064.6391    2.1545723    7.4194327   0.15347541 
   13500   -943.70391    48.429051   -895.27486     1734.553    1275.8552    2.1714458    6.6950104   0.16982678 
   13600   -936.44694    50.650211   -885.79673    1814.1069     699.2859    2.1533105     6.125416   0.16431353 
   13700    -942.1466     53.46664   -888.67996    1914.9811   -1930.5903    2.1598675    6.1900352   0.17126035 
   13800   -945.42361    51.007649   -894.41596     1826.909    108.53461    2.1684928    8.2557427   0.15862359 
