LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00110787 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1300   -951.04357            0   -914.74732   -116958.82    5330.9442 
    3200    1302.3657   -958.96652            0   -922.60422    10646.963     4512.018 
Loop time of 2.34729 on 1 procs for 3200 steps with 217 atoms

Performance: 353.361 ns/day, 0.068 hours/ns, 1363.276 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2933     | 2.2933     | 2.2933     |   0.0 | 97.70
Neigh   | 0.0059555  | 0.0059555  | 0.0059555  |   0.0 |  0.25
Comm    | 0.013811   | 0.013811   | 0.013811   |   0.0 |  0.59
Output  | 2.5485e-05 | 2.5485e-05 | 2.5485e-05 |   0.0 |  0.00
Modify  | 0.029348   | 0.029348   | 0.029348   |   0.0 |  1.25
Other   |            | 0.004883   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4144 ave 4144 max 4144 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8288 ave 8288 max 8288 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8288
Ave neighs/atom = 38.1935
Neighbor list builds = 10
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.666 | 9.666 | 9.666 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -958.96652    36.362299   -922.60422    1302.3657    10646.963    2.2352101            0 9.8279492e-32 
    3300   -960.38002    35.655998   -924.72402    1277.0686    8468.3108    2.2320871   0.15503753  0.073943249 
    3400   -963.45283    31.818386   -931.63444    1139.6192   -124.31344    2.2200577   0.32288039  0.072220525 
    3500   -957.99177    32.496458   -925.49531    1163.9053    -9708.736    2.1839515  0.084150198  0.081125362 
    3600   -956.06321    33.466559   -922.59665    1198.6508    -8053.002     2.183449   0.17014346  0.093198999 
    3700   -955.88648    35.499394   -920.38708    1271.4595     2300.941    2.2074123  0.082110861  0.087134849 
    3800   -958.84357    35.213287   -923.63028    1261.2123    11130.922    2.2346596  0.074523155  0.095741977 
    3900   -960.61481    34.351581   -926.26322    1230.3491    8863.3917    2.2369828   0.16931643  0.084578829 
    4000   -956.31545    35.498561   -920.81689    1271.4297     72.47643    2.2044574   0.11232229  0.095909804 
    4100   -958.23335      36.9901   -921.24325    1324.8512   -9875.0884    2.1829381   0.26155717  0.088318987 
    4200   -959.16219    31.771115   -927.39108    1137.9261   -8394.2668    2.1924366   0.38658846  0.079015026 
    4300   -960.34061    37.291891   -923.04872    1335.6603   -1179.7904    2.2090812   0.34828237   0.10228791 
    4400   -955.39016    35.539382   -919.85078    1272.8918    11753.583    2.2303542   0.11251507  0.079376691 
    4500   -958.62302    36.006409   -922.61661     1289.619     10134.16    2.2325199   0.12804101  0.071217165 
    4600   -961.73758    33.626829   -928.11075    1204.3911   -680.21245    2.2131593   0.35073908  0.085053353 
    4700   -955.16129    35.084945   -920.07634    1256.6155   -9511.4133    2.1748858    0.1252412  0.085712547 
    4800   -957.17227    36.268282   -920.90399    1298.9983     -9246.14    2.1847192  0.041048776  0.095637479 
    4900   -959.55426    37.004751   -922.54951     1325.376    3520.6148    2.2175813   0.14447223  0.087408015 
    5000    -960.1835    32.617072   -927.56642    1168.2252    12696.976    2.2446867   0.17424743  0.093322963 
    5100   -961.26682    38.219082   -923.04774    1368.8689    6981.9527    2.2301257   0.17309882  0.095998698 
    5200   -958.27625    37.094635   -921.18162    1328.5953   -1363.1393    2.2019946   0.20751256  0.087662521 
    5300   -957.13443    35.420612   -921.71382    1268.6379   -10195.172     2.183139  0.045533268   0.11102571 
    5400   -958.11209    37.211344   -920.90075    1332.7754   -7618.3792    2.1873441   0.26969453  0.086073857 
    5500   -952.50177    39.956516   -912.54526    1431.0975    3025.3327    2.1996131   0.10450206   0.09728147 
    5600   -958.39439    39.373782   -919.02061    1410.2261    10758.073     2.234889   0.06251464  0.094992319 
    5700   -959.70162    38.294219    -921.4074      1371.56    7130.9864    2.2279624   0.10125116  0.080396758 
    5800   -956.03225    34.069009   -921.96324    1220.2284   -1896.1892    2.1982943   0.17885231  0.089565811 
