LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000983412 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1425   -951.04357            0   -911.25729   -116259.55    5330.9442 
    3200    1376.7788   -954.18499            0   -915.74506    6857.5654    4558.2301 
Loop time of 2.30159 on 1 procs for 3200 steps with 217 atoms

Performance: 360.377 ns/day, 0.067 hours/ns, 1390.342 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.253      | 2.253      | 2.253      |   0.0 | 97.89
Neigh   | 0.0012455  | 0.0012455  | 0.0012455  |   0.0 |  0.05
Comm    | 0.013353   | 0.013353   | 0.013353   |   0.0 |  0.58
Output  | 2.9279e-05 | 2.9279e-05 | 2.9279e-05 |   0.0 |  0.00
Modify  | 0.02917    | 0.02917    | 0.02917    |   0.0 |  1.27
Other   |            | 0.004808   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4196 ave 4196 max 4196 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8392 ave 8392 max 8392 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8392
Ave neighs/atom = 38.6728
Neighbor list builds = 2
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.658 | 9.658 | 9.658 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -954.18499    38.439927   -915.74506    1376.7788    6857.5654    2.2125491            0 2.410979e-32 
    3300   -956.16056    36.186495   -919.97407     1296.069    -8014.538    2.1811959  0.051497185     0.081408 
    3400    -953.9111    40.664942   -913.24616    1456.4708    -11991.65    2.1649492   0.11733144  0.096104627 
    3500   -951.94356    38.560412   -913.38314    1381.0941    2164.1386    2.1972771   0.17427736  0.086978841 
    3600    -954.6639    36.169957   -918.49394    1295.4767    13450.032    2.2335013  0.059772245   0.10425525 
    3700   -954.08957     41.44748   -912.64209    1484.4984    4316.5893    2.2058016   0.04709638  0.080030261 
    3800   -948.69166    36.597568    -912.0941    1310.7922   -5420.5812    2.1737284   0.11881853    0.1017129 
    3900   -954.17698    38.968213   -915.20877    1395.7001   -9629.4081    2.1759229  0.075982188    0.1067497 
    4000   -954.99047    39.985801   -915.00467    1432.1464     4513.951    2.2081912  0.094919971  0.098075515 
    4100   -948.21707    41.058521   -907.15855    1470.5673    8524.1882    2.2035478  0.064211696  0.094713283 
    4200   -953.44056    40.195737   -913.24482    1439.6655     -1539.95    2.1942343   0.10205359  0.090252568 
    4300    -954.8673    39.137023   -915.73028    1401.7462   -7779.5669    2.1791921  0.037518552   0.08941627 
    4400    -950.8017    41.659607   -909.14209    1492.0961   -3727.9157    2.1805902   0.12226198  0.085221403 
    4500   -950.48005    40.003041   -910.47701    1432.7639    7027.7266    2.2072152   0.19443643  0.098932683 
    4600   -951.15192     36.29302    -914.8589    1299.8844    7001.1716    2.2070989  0.014081163  0.095244194 
    4700   -950.51242    37.159159   -913.35327    1330.9063   -713.01648     2.184208  0.097257013  0.093284774 
    4800   -949.92622    43.105559   -906.82066    1543.8848   -9022.6352    2.1651148  0.076165984    0.1181388 
    4900   -953.41773    37.620715   -915.79701    1347.4376    3383.8922      2.20415   0.12165544   0.10874456 
    5000   -953.92398    39.284024   -914.63995    1407.0113    5746.1472    2.2103147  0.039947078  0.088890709 
    5100   -953.42944    41.669253   -911.76018    1492.4415   -1257.5274    2.1908785  0.044244952  0.097748241 
    5200   -953.60716    43.945534   -909.66163    1573.9697   -7921.4919    2.1726893    0.1191678   0.11224926 
    5300   -954.68877    36.634316   -918.05445    1312.1084    906.92737    2.2011082    0.1495244  0.093567195 
    5400   -952.82121    38.690596   -914.13061    1385.7568     7169.504    2.2100321   0.11506141  0.099077542 
    5500   -951.14138    39.749501   -911.39187     1423.683    4818.7358    2.1991412  0.042319309  0.086520977 
    5600   -954.54749    38.725784   -915.82171    1387.0171   -7758.8554    2.1804586  0.055917156  0.087861142 
    5700   -955.74871    37.727404   -918.02131    1351.2588   -5466.5526    2.1867029   0.22207062   0.10591093 
    5800   -952.47594    39.920853   -912.55509    1429.8202    6001.6913    2.2065951  0.035702576  0.098999381 
