LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00100546 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1425   -951.04357            0   -911.25729   -116259.55    5330.9442 
    3200    1388.7044   -950.61463            0   -911.84174     8710.352    4563.0285 
Loop time of 2.31843 on 1 procs for 3200 steps with 217 atoms

Performance: 357.759 ns/day, 0.067 hours/ns, 1380.243 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2622     | 2.2622     | 2.2622     |   0.0 | 97.58
Neigh   | 0.0090058  | 0.0090058  | 0.0090058  |   0.0 |  0.39
Comm    | 0.013669   | 0.013669   | 0.013669   |   0.0 |  0.59
Output  | 2.7063e-05 | 2.7063e-05 | 2.7063e-05 |   0.0 |  0.00
Modify  | 0.028771   | 0.028771   | 0.028771   |   0.0 |  1.24
Other   |            | 0.004713   |            |       |  0.20

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4250 ave 4250 max 4250 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8500 ave 8500 max 8500 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8500
Ave neighs/atom = 39.1705
Neighbor list builds = 15
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.666 | 9.666 | 9.666 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -950.61463    38.772893   -911.84174    1388.7044     8710.352    2.2102224            0 7.8549409e-32 
    3300    -951.7204    38.308482   -913.41191    1372.0709   -5619.8641    2.1768101  0.048456576  0.099710937 
    3400   -955.35317    36.052541   -919.30063    1291.2713   -8055.1454     2.181417  0.079941068  0.097143302 
    3500   -955.16654    41.063605   -914.10294    1470.7494      2653.33    2.2007489  0.083662724  0.095288474 
    3600    -954.7145    42.982748   -911.73175    1539.4862    8467.0319    2.2160604   0.13233483   0.10764324 
    3700     -956.348     38.00612   -918.34188    1361.2414    1279.2937    2.2038963   0.12773417    0.0908422 
    3800   -951.95854    34.628361   -917.33018    1240.2623   -8425.2198    2.1733466  0.021845289   0.11810502 
    3900   -949.91425    36.847589   -913.06666     1319.747   -3988.8701    2.1785511  0.080093007   0.11540422 
    4000   -952.51595    38.994909   -913.52104    1396.6562    7318.4496    2.2100276   0.17103418   0.12137113 
    4100   -956.10027    35.775356   -920.32492    1281.3435    11094.442    2.2295089  0.022506091  0.085428733 
    4200   -952.75118    39.422336   -913.32885    1411.9651    -974.0394    2.1864078   0.22059058   0.09632603 
    4300   -951.24291    38.290672   -912.95224     1371.433   -6908.1438    2.1707643  0.050090542  0.099243556 
    4400   -954.43271    39.421553   -915.01116    1411.9371   -2768.3724    2.1878031  0.064244096  0.082813791 
    4500   -958.83174     39.12152   -919.71022     1401.191    7147.5296    2.2206501 0.0077804337  0.089306768 
    4600   -957.00532    42.525679   -914.47964    1523.1156    6552.4493    2.2161741    0.2006191  0.092185036 
    4700   -955.00184    42.290237   -912.71161    1514.6829   -1889.1944    2.1876961   0.07401317   0.10162675 
    4800   -953.58931    39.284418   -914.30489    1407.0254   -9942.3269    2.1668856   0.23900921    0.1261442 
    4900   -952.83455    39.826876   -913.00768    1426.4543   -2744.8496    2.1829563  0.050629135   0.12391733 
    5000    -949.6882    44.857179   -904.83102    1606.6215    5338.9328    2.1959723  0.013171928   0.11059952 
    5100   -954.26575     42.24706   -912.01869    1513.1365    6834.5969    2.2118304  0.046363152  0.098424503 
    5200   -949.75999    35.197644   -914.56234    1260.6519   -124.75411    2.1897445    0.1104421   0.12039669 
    5300   -952.34174    39.668383   -912.67335    1420.7776   -8386.7649    2.1712258   0.24880337   0.10320504 
    5400   -953.04172    46.637998   -906.40372    1670.4039   -5576.2457    2.1743323  0.049461119   0.10111056 
    5500   -954.37854    40.383394   -913.99514    1446.3867    8702.5925    2.2174886   0.10747958   0.10845626 
    5600   -953.39873    39.436884   -913.96184    1412.4862    9054.1341    2.2173869  0.027742868   0.10131462 
    5700    -953.8766     44.69888   -909.17772    1600.9518   -6181.2435    2.1771234    0.0463633   0.13062152 
    5800   -946.61661    36.635956   -909.98065    1312.1671   -8856.3334    2.1590921   0.32705411   0.13298913 
    5900    -952.3206    37.019978   -915.30062    1325.9214   -538.56146     2.193242  0.033034335    0.1273104 
    6000   -953.37762    41.276952   -912.10067    1478.3907     9924.414    2.2194764  0.053787623   0.12188026 
    6100   -949.74175    41.111034   -908.63071    1472.4481    7639.9657    2.2054808   0.16708053   0.11760909 
    6200   -954.85141    37.853573   -916.99784    1355.7777   -4640.0313    2.1854838   0.23994472   0.10956911 
    6300   -951.64392    36.183196   -915.46072    1295.9508   -11462.491    2.1676399   0.19117233   0.11222199 
    6400   -952.49833    40.132273   -912.36606    1437.3925   -825.95068    2.1912991  0.049567035   0.10971306 
    6500   -953.87536    39.314354   -914.56101    1408.0976    9368.7005    2.2214394  0.093568106   0.10850623 
    6600    -958.7522    39.540174   -919.21202    1416.1857    4457.1162    2.2179585   0.10022533   0.10264411 
    6700   -952.25952    38.977709   -913.28181    1396.0402   -3492.7203    2.1776497  0.084650678   0.11164053 
    6800   -950.26178    37.323619   -912.93816    1336.7967   -7527.0715     2.170034  0.086193776    0.1231125 
    6900   -959.58407    39.529115   -920.05496    1415.7895   -444.12694     2.206511  0.063791311   0.11209988 
    7000   -953.77183     39.15434   -914.61749    1402.3665    8882.3119    2.2152061   0.14405264    0.1075104 
    7100   -953.22254    40.923892   -912.29865    1465.7454    3562.9182    2.2000768  0.016485587   0.10317067 
    7200   -956.82956    40.185992   -916.64357    1439.3165   -8157.5269    2.1805539   0.16657357  0.099536078 
    7300   -952.36385    34.056354    -918.3075    1219.7751   -3828.6664    2.1833634   0.13211853   0.10363799 
    7400   -948.91595     38.43897   -910.47698    1376.7445    1724.1303     2.188093   0.12789413     0.103467 
    7500   -951.10474      37.8209   -913.28384    1354.6075    7853.1128    2.2107487 0.0052470826   0.10058347 
    7600   -954.80521     38.86648   -915.93873    1392.0564    4220.6146    2.2052813  0.038841975  0.095526421 
    7700   -948.22973    40.646264   -907.58346    1455.8018   -2862.4157    2.1701186   0.21376762   0.10477057 
    7800   -950.16617     38.86641   -911.29976    1392.0539   -2118.5515    2.1815976   0.27438018   0.12176799 
    7900   -956.67407    41.751604   -914.92247     1495.391    2614.0916    2.2063296  0.050363386    0.1096629 
    8000   -953.43509    41.009989    -912.4251    1468.8291    10067.906    2.2192181  0.032710296   0.10717164 
    8100   -947.73746    41.333508   -906.40395    1480.4164   -2825.1223    2.1725855    0.1538898   0.10896256 
    8200   -954.20279    39.605614   -914.59717    1418.5295   -15557.793    2.1565598   0.29501429   0.11002287 
    8300   -954.45058      39.8957   -914.55488    1428.9193   -4128.1681    2.1837408  0.035424509    0.1100416 
    8400   -955.71591    44.814618   -910.90129    1605.0971    10449.107    2.2223158   0.25342591    0.1020035 
    8500   -952.44708    39.812948   -912.63413    1425.9554    8760.0877    2.2131549  0.078438415  0.096836906 
    8600   -958.44666    40.318594   -918.12807    1444.0658   -5943.9241    2.1875673   0.14162119  0.094204891 
    8700   -953.87964    39.408038    -914.4716     1411.453   -5949.7602     2.177906   0.11626539    0.1150382 
    8800    -951.0609    39.458965   -911.60194     1413.277    2105.8892    2.1938278  0.073187768   0.12135089 
    8900   -957.99709    39.147114   -918.84997    1402.1077    6213.5035    2.2175422  0.027723369  0.099022106 
    9000   -954.73144    38.029674   -916.70177     1362.085     1449.295     2.200518  0.062157503  0.096850309 
    9100   -951.47911    39.014573   -912.46453    1397.3605   -1372.1084    2.1841359   0.23416448  0.099380376 
    9200   -951.80915    37.064928   -914.74423    1327.5313   -1064.3859    2.1893943  0.015401983   0.10410739 
    9300   -954.76738    34.518986   -920.24839    1236.3449     4636.834    2.2138574   0.24386002   0.10316864 
    9400   -950.60687    38.628532   -911.97834    1383.5339    4348.3112    2.2000179  0.011711639  0.096757426 
    9500   -950.82527    37.572881   -913.25239    1345.7243    849.94481     2.192303   0.05706269  0.097954233 
    9600   -958.41207    40.518081   -917.89399    1451.2107   -7161.7731    2.1863104    0.2015871   0.10240817 
    9700   -956.76774    40.867498   -915.90025    1463.7256   -2146.4189    2.1937127   0.12932714   0.10719273 
    9800   -953.57659    42.582587     -910.994    1525.1538    9233.4379    2.2139812  0.079629163    0.1116018 
    9900   -956.19525    42.221247   -913.97401    1512.2119    1519.5591    2.2015174   0.10671222   0.10473792 
   10000   -954.58236    37.712051   -916.87031    1350.7089   -9899.9204    2.1715591  0.037706396  0.096742009 
   10100    -951.1171    39.964005   -911.15309    1431.3657   -8321.7392    2.1705572   0.06738763   0.10109176 
   10200   -952.09649    42.073424   -910.02307    1506.9175    6461.2437    2.2085364   0.28530694    0.1170285 
   10300   -953.67218    40.162818   -913.50936    1438.4865    6484.7761     2.215166   0.03289251    0.1042812 
   10400   -954.84088    38.664988   -916.17589    1384.8397   -4311.1419    2.1889058   0.17236688   0.11230226 
   10500   -952.27397    44.777356   -907.49662    1603.7625   -10835.299     2.160164  0.019729245  0.099492056 
   10600   -951.15648    39.569227   -911.58725    1417.2262    1782.0503    2.1926583   0.15464362   0.10996685 
   10700   -955.56487    40.860112   -914.70476     1463.461    6148.8363    2.2132846   0.10641338   0.11552258 
   10800   -955.54092     42.42501   -913.11591      1519.51    1776.9882    2.2015859  0.032516672    0.1056322 
   10900   -952.64551    45.876092   -906.76942    1643.1152   -8342.3716    2.1694431  0.080052957   0.11911713 
   11000   -955.42314    40.024275   -915.39887    1433.5244   -3502.0464    2.1899345   0.12703125   0.10772071 
   11100   -956.26897    41.955262   -914.31371    1502.6853    157.11349    2.2020497   0.17333039   0.10615137 
   11200   -951.68287    42.359884   -909.32298    1517.1774    3805.7728    2.2011807   0.15825035  0.095680587 
   11300   -950.81744    38.861995   -911.95544    1391.8957    397.25281    2.1913259   0.33864174   0.10350949 
   11400   -951.95093    35.794117   -916.15681    1282.0155   -2298.4488    2.1898203  0.081664351   0.11352753 
   11500   -950.55454    37.757061   -912.79748     1352.321    1652.5671    2.1949814   0.11335926   0.12374541 
   11600   -950.15989    40.337471   -909.82242    1444.7419    3223.7303    2.1974316   0.12123199   0.11916365 
   11700   -957.29748    38.876002   -918.42148    1392.3974    643.42458    2.2046288  0.058988534   0.10265833 
   11800   -955.08141    39.089787   -915.99162    1400.0544   -3138.4347    2.1897306   0.17554713   0.10033167 
   11900   -948.81702    36.437813   -912.37921    1305.0703   -306.84537    2.1891056    0.2355673   0.11634799 
   12000   -953.68007    39.633461   -914.04661    1419.5268    2028.7831     2.199051  0.016587702   0.10507052 
   12100   -955.32361       35.854   -919.46961    1284.1603    4795.1787    2.2125656   0.24734889   0.10805735 
   12200   -955.74434    42.913473   -912.83086     1537.005   -2513.4172    2.1955897  0.098644195   0.10146677 
   12300   -954.02947    40.841561   -913.18791    1462.7966   -2622.5002     2.190745  0.045646114  0.091904367 
   12400   -955.47047    35.500603   -919.96986    1271.5029    330.29805    2.2046814  0.080173526    0.1050807 
   12500    -954.0614    40.130321   -913.93107    1437.3226    256.74358    2.1999658    0.1361454   0.11676765 
   12600   -951.54601    39.347622   -912.19839    1409.2891    5802.5117    2.2036314   0.18263993    0.1281529 
   12700   -955.39082    39.289042   -916.10178     1407.191   -737.06876    2.1996658   0.16323937   0.10911018 
   12800   -956.81299    36.075615   -920.73737    1292.0977   -6487.3411    2.1880093  0.083214136   0.10080071 
   12900    -951.6267    39.585384   -912.04132    1417.8049   -5575.5299    2.1773651   0.12295045   0.11000917 
   13000   -950.44612    37.615964   -912.83015    1347.2674    9945.1243    2.2175469   0.35066594    0.1234531 
   13100   -954.08483    39.870261   -914.21457    1428.0082    11592.582    2.2289316  0.067294896   0.10614178 
   13200   -954.74101    39.000364   -915.74065    1396.8516     -3449.43    2.1897518  0.029914767   0.10795851 
   13300   -946.92681    41.475562   -905.45125    1485.5042   -12785.273    2.1456369    0.2423154   0.11951563 
   13400   -951.66081    40.497835   -911.16297    1450.4856    244.30603    2.1928181  0.086589901   0.11522256 
   13500   -952.81733    39.178301   -913.63903    1403.2247    9700.3212    2.2201708   0.18781327   0.12908094 
   13600   -955.29635    39.787459   -915.50889    1425.0425    2814.1429    2.2071989   0.11183405   0.11364705 
   13700   -948.75501    42.253282   -906.50172    1513.3593   -6011.1005    2.1723888   0.11131342   0.12419313 
   13800   -952.29339    40.251203   -912.04219    1441.6521    -776.7446     2.189961   0.08820566   0.11457961 
   13900   -954.34398    39.523221   -914.82076    1415.5784    1656.7438    2.2021002  0.043355823   0.11370246 
   14000   -952.15745    39.696252    -912.4612    1421.7758    3914.0605    2.2034228   0.20982656   0.11464083 
   14100    -947.1838    40.850387   -906.33341    1463.1127    1110.6509    2.1820018  0.077789868   0.10565782 
   14200    -953.3247    38.496945   -914.82776     1378.821   -2452.6001     2.192514  0.027535896   0.10742088 
   14300   -953.89094    39.818831    -914.0721    1426.1661     1373.967    2.1990845   0.13242123   0.11345476 
   14400   -950.36821    41.501299   -908.86691     1486.426    4410.0664    2.1995815   0.12703443   0.12784733 
   14500   -950.35701    40.036156   -910.32085    1433.9499    738.81039    2.1923607   0.26114547   0.12812732 
   14600   -951.85559    36.456503   -915.39909    1305.7397   -6474.4376    2.1810673   0.49876139    0.1164338 
   14700   -951.08117    37.552475   -913.52869    1344.9935   -1165.9055    2.1904011   0.12969017   0.11155963 
   14800   -952.05154     42.23039   -909.82115    1512.5394    8997.4478    2.2170741   0.16284767   0.11493665 
   14900   -948.18719    44.788422   -903.39877    1604.1588    7138.0953    2.2021819   0.17497457   0.12487383 
   15000   -952.65847    40.608095   -912.05037    1454.4347   -4738.5093     2.180315   0.13436095   0.10675097 
   15100   -949.61902    36.267048   -913.35197    1298.9541   -11360.827    2.1620205   0.20901896    0.1257948 
   15200    -956.3209    41.885997    -914.4349    1500.2045   -3776.6721    2.1922515   0.15467775   0.10488366 
   15300   -955.67265    40.721859   -914.95079    1458.5093    9934.6948     2.225279   0.20317357   0.11779229 
   15400   -948.97966    42.996925   -905.98274    1539.9939    1939.5385    2.1890719   0.10394986   0.12337319 
   15500    -951.5877     39.48231   -912.10539    1414.1132   -3561.4323    2.1797709   0.14139897   0.11282066 
   15600    -953.0589    38.168313   -914.89058    1367.0506   -3267.3559    2.1857839   0.02113522   0.10426023 
   15700    -953.0535    39.979908   -913.07359    1431.9353    2004.8072    2.1994011  0.093377077   0.10443918 
   15800   -950.83555    43.934828   -906.90072    1573.5862    76.581343    2.1892766   0.01333871    0.1189205 
   15900   -953.96499    39.706502   -914.25849    1422.1429    84.789765    2.1962709  0.051585031   0.10707213 
   16000   -952.49868    37.761553   -914.73713    1352.4819   -892.89671    2.1918159   0.14771752   0.10381528 
   16100   -949.76811    41.796164   -907.97194     1496.987   -187.61793     2.185871  0.028617665   0.10719353 
   16200   -953.95745    42.392822   -911.56462    1518.3571   -812.86196     2.193043   0.11698708    0.1082742 
   16300   -954.10604    39.043046     -915.063    1398.3803    140.46989    2.1945511  0.028121298   0.11280647 
   16400   -953.45293    40.798638   -912.65429    1461.2593    268.39692    2.1944697   0.41117696   0.12166142 
   16500   -949.23023    42.189691   -907.04054    1511.0817    836.75861    2.1886011   0.12944739   0.11589682 
   16600   -953.94895    39.150232   -914.79872    1402.2193   -269.97693    2.1976117   0.11488782   0.11449523 
   16700   -951.15885    36.314558    -914.8443    1300.6558   -3917.2853    2.1839664  0.022581104   0.11029522 
