LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00120599 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1425   -951.04357            0   -911.25729   -116259.55    5330.9442 
    3200    1395.3711   -952.99103            0     -914.032    9067.5284    4559.6238 
Loop time of 2.33891 on 1 procs for 3200 steps with 217 atoms

Performance: 354.626 ns/day, 0.068 hours/ns, 1368.157 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2763     | 2.2763     | 2.2763     |   0.0 | 97.32
Neigh   | 0.012126   | 0.012126   | 0.012126   |   0.0 |  0.52
Comm    | 0.014      | 0.014      | 0.014      |   0.0 |  0.60
Output  | 2.5632e-05 | 2.5632e-05 | 2.5632e-05 |   0.0 |  0.00
Modify  | 0.031182   | 0.031182   | 0.031182   |   0.0 |  1.33
Other   |            | 0.005258   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4176 ave 4176 max 4176 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8352 ave 8352 max 8352 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8352
Ave neighs/atom = 38.4885
Neighbor list builds = 20
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -952.99103    38.959028     -914.032    1395.3711    9067.5284    2.2118728            0 5.1290368e-32 
    3300   -957.69501    37.145136   -920.54987    1330.4041   -2951.8128    2.1977491   0.10021492  0.084709918 
    3400   -954.09482    40.119869   -913.97495    1436.9482   -8863.6232    2.1693907   0.25152425  0.083860243 
    3500   -951.89293    39.167045   -912.72588    1402.8215   -2271.1098    2.1827895  0.014265799  0.088451983 
    3600   -957.04028    38.483289   -918.55699    1378.3318    7588.2555    2.2200876   0.28454984   0.10830147 
    3700   -954.68866    37.639312   -917.04934    1348.1036    8346.8736    2.2191866  0.081497425  0.090947074 
    3800   -952.68937    40.125438   -912.56393    1437.1477     -3353.65    2.1844825  0.068796881   0.11800281 
    3900   -956.99808    42.116717   -914.88137    1508.4681   -11387.773    2.1722829  0.080911987   0.10807279 
    4000   -958.25119    38.380849   -919.87034    1374.6628   -2741.7704    2.2004921  0.068030892   0.11118996 
    4100   -951.80374    39.406595   -912.39715    1411.4013    7981.6568    2.2139036   0.13394452   0.11236811 
    4200   -954.25431    41.993814   -912.26049    1504.0661     7769.903    2.2156132  0.093297191  0.097790723 
    4300    -953.0935    37.531168   -915.56233    1344.2303   -3652.8035    2.1897771    0.3399894  0.096000877 
    4400   -952.57243    40.785002   -911.78743    1460.7709   -11911.563    2.1674948 0.0026305287  0.096068471 
    4500   -951.32844    42.705462   -908.62298    1529.5548   -2033.1566    2.1816929   0.10797796  0.099959577 
    4600   -953.11305    39.339814   -913.77324    1409.0095    7474.3329    2.2136662   0.18507548  0.098113424 
    4700    -954.7512    39.910491   -914.84071     1429.449    4451.2154    2.2102317   0.11647812   0.11604508 
    4800   -949.59951    42.862684   -906.73683    1535.1859    -6967.029    2.1700833   0.30420843   0.11588186 
    4900   -952.59606    39.828599   -912.76746     1426.516   -5225.7027    2.1775577   0.16475397  0.099047724 
    5000   -953.54023    38.720724    -914.8195    1386.8359    828.15274    2.1968813  0.063875802   0.10221098 
    5100   -954.22979    42.942542   -911.28725    1538.0461    5790.0342     2.208517  0.013255295   0.10179529 
    5200   -948.36492    41.378749   -906.98617    1482.0367    1757.2807    2.1887678  0.061429645   0.13140789 
    5300   -956.01049       40.132   -915.87849    1437.3827   -3671.4599    2.1902024   0.11222302   0.10287645 
    5400   -953.00393    38.490159   -914.51377    1378.5779   -3005.1143    2.1878243  0.041499176  0.092507317 
    5500   -950.92039    39.187634   -911.73275    1403.5589    2308.8667    2.1952048   0.20487012  0.096581093 
    5600   -954.80916    42.474203   -912.33496    1521.2719     2970.654    2.2030648   0.22053571  0.094864445 
    5700   -955.20055    36.462597   -918.73796     1305.958    3896.7585    2.2102215  0.046620085   0.10898551 
    5800   -954.69942    40.261084   -914.43834     1442.006   -2349.5384    2.1898164  0.073483049   0.11206542 
    5900   -955.48674    42.768678   -912.71806    1531.8189   -5768.4075    2.1822839  0.017292144   0.10499302 
    6000   -956.15911    37.979212    -918.1799    1360.2776   -2079.2319    2.1980713   0.18136599  0.092215356 
    6100   -956.94694    38.870913   -918.07603    1392.2151    2725.9274    2.2081156   0.28829462  0.096471339 
    6200   -954.93993    42.400477   -912.53946    1518.6313    4187.2872    2.2061457   0.11742695   0.10399019 
