LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00106072 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1550   -951.04357            0   -907.76727   -115560.29    5330.9442 
    3200     1583.653   -950.22865            0   -906.01275    1628.5246    4608.1245 
Loop time of 2.27896 on 1 procs for 3200 steps with 217 atoms

Performance: 363.956 ns/day, 0.066 hours/ns, 1404.152 timesteps/s
99.9% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2129     | 2.2129     | 2.2129     |   0.0 | 97.10
Neigh   | 0.017799   | 0.017799   | 0.017799   |   0.0 |  0.78
Comm    | 0.013894   | 0.013894   | 0.013894   |   0.0 |  0.61
Output  | 2.5456e-05 | 2.5456e-05 | 2.5456e-05 |   0.0 |  0.00
Modify  | 0.029386   | 0.029386   | 0.029386   |   0.0 |  1.29
Other   |            | 0.004968   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    953 ave 953 max 953 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4187 ave 4187 max 4187 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8374 ave 8374 max 8374 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8374
Ave neighs/atom = 38.5899
Neighbor list builds = 30
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.661 | 9.661 | 9.661 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -950.22865    44.215893   -906.01275     1583.653    1628.5246    2.1885928            0 7.6184795e-32 
    3300   -946.56695    41.973816   -904.59314    1503.3499    -2823.811    2.1750276   0.12911728    0.1156456 
    3400   -954.26714    41.851431   -912.41571    1498.9665   -2966.3809    2.1859421   0.10072611  0.083891276 
    3500   -951.26503      41.7363   -909.52873    1494.8429    808.87338    2.1914779  0.030168871  0.096817579 
    3600   -948.93918     44.48704   -904.45214    1593.3644    3832.7597    2.1919289   0.11464292   0.13060929 
    3700   -948.67735    41.738632   -906.93872    1494.9264   -151.56899    2.1836344  0.011367933  0.091130239 
    3800   -954.59685    40.506815   -914.09003    1450.8072   -4182.6865    2.1859241    0.0181835   0.09262847 
    3900    -948.6362    42.994729   -905.64147    1539.9153   -2338.0601    2.1767473  0.048705872   0.10041868 
    4000   -947.13463    42.023147   -905.11149    1505.1167    4668.2184     2.192446  0.028621078   0.11272419 
    4100   -952.43377    42.171659   -910.26211    1510.4359    471.79722    2.1902884  0.049029852  0.089622134 
    4200   -954.73125    43.768207   -910.96304    1567.6184   -5168.0041    2.1808744   0.24773324  0.091327847 
    4300   -949.20738    45.285443   -903.92193    1621.9603   -3753.9985    2.1697763   0.17480561  0.083764066 
    4400   -950.66711    44.572384   -906.09473    1596.4212   -179.55822    2.1836757   0.15123359  0.098890294 
    4500   -950.95484    42.137884   -908.81696    1509.2262    3271.0962    2.1951552   0.32506893    0.1137346 
    4600   -942.62643    42.414665   -900.21177    1519.1395    2080.3411    2.1722901   0.29046398   0.10178469 
    4700   -951.38834    48.916484   -902.47185     1752.011   -2925.0763    2.1773898  0.067058734   0.11338933 
    4800   -949.71795    42.605336   -907.11261    1525.9686   -570.81452    2.1802477  0.059622547   0.10214946 
    4900   -951.39096    44.573504   -906.81746    1596.4613   -1346.8091    2.1811052  0.038855844   0.10547018 
    5000   -945.87305    47.534063   -898.33898    1702.4978   -989.51842    2.1659884  0.082291556   0.10977151 
    5100   -949.40671    43.024394   -906.38232    1540.9778     3450.495    2.1876408   0.30826702   0.10492249 
    5200   -948.83225    41.705579   -907.12668    1493.7426     1050.147    2.1847453  0.066520739  0.097691788 
    5300   -945.90091    45.766004    -900.1349    1639.1723   -2541.5137    2.1686425  0.061313893    0.1071172 
    5400   -949.97683    44.456995   -905.51984    1592.2884   -972.52948    2.1771352   0.11448232   0.11379152 
    5500    -950.6998    42.636203    -908.0636    1527.0742   -624.01856    2.1849714  0.059103951   0.11166532 
    5600   -950.01166    46.011755    -903.9999    1647.9742    1459.1148    2.1852575  0.019840251  0.098269829 
    5700   -946.00898     45.27897   -900.73001    1621.7285    733.72856    2.1755318  0.020640015   0.10515188 
    5800   -952.23868    41.976591   -910.26209    1503.4493     466.1235    2.1920738  0.023145985    0.0990305 
