LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000986441 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1550   -951.04357            0   -907.76727   -115560.29    5330.9442 
    3200    1527.6675   -948.63483            0   -905.98206   -5738.2516    4651.7986 
Loop time of 2.3096 on 1 procs for 3200 steps with 217 atoms

Performance: 359.127 ns/day, 0.067 hours/ns, 1385.522 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2305     | 2.2305     | 2.2305     |   0.0 | 96.58
Neigh   | 0.030449   | 0.030449   | 0.030449   |   0.0 |  1.32
Comm    | 0.014389   | 0.014389   | 0.014389   |   0.0 |  0.62
Output  | 2.5111e-05 | 2.5111e-05 | 2.5111e-05 |   0.0 |  0.00
Modify  | 0.029373   | 0.029373   | 0.029373   |   0.0 |  1.27
Other   |            | 0.004835   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4185 ave 4185 max 4185 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8370 ave 8370 max 8370 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8370
Ave neighs/atom = 38.5714
Neighbor list builds = 51
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.663 | 9.663 | 9.663 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -948.63483     42.65277   -905.98206    1527.6675   -5738.2516    2.1680448            0 1.0009129e-31 
    3300   -950.20385    43.922793   -906.28106    1573.1552   -1101.9251     2.180249  0.015931001   0.09793227 
    3400   -954.33466    40.604355    -913.7303    1454.3007    3907.2709    2.2080183  0.043489417   0.10410398 
    3500   -951.50559    40.370287    -911.1353    1445.9173    2390.7452    2.1948219  0.042176276  0.099283841 
    3600   -950.50212    44.063469   -906.43865    1578.1937    -4062.438    2.1750792   0.14394872   0.11505519 
    3700   -947.47423     42.27197   -905.20226    1514.0287   -1530.7211    2.1766469   0.03175168  0.092397756 
    3800   -950.76789    40.622152   -910.14574    1454.9382    3167.0376    2.1957724  0.012597146   0.10129761 
    3900   -954.71007    42.665345   -912.04473    1528.1179    893.40091    2.1996513   0.22879545   0.10967459 
    4000   -950.22712    44.517978   -905.70915    1594.4725   -1867.9851    2.1768877   0.13720172   0.11455559 
    4100   -954.65827     48.87982   -905.77845    1750.6979   -6797.4036    2.1723505  0.050890882  0.088040784 
    4200    -951.4776    38.375108    -913.1025    1374.4572    1945.4942    2.1963163   0.19551082   0.10371622 
    4300   -950.45878     41.91845   -908.54033    1501.3669    3852.2802    2.1962112  0.080830994  0.099375365 
    4400   -948.23045     43.36505    -904.8654    1553.1788    641.00641    2.1804522   0.21458678  0.099736758 
    4500   -946.21401    39.132339   -907.08167    1401.5785   -2814.3389    2.1702755   0.03400821   0.13292517 
    4600   -953.75787    39.859967   -913.89791    1427.6395   -2775.4768    2.1876902   0.13014178  0.083646166 
    4700   -950.87114    44.714394   -906.15675    1601.5074    4153.6943    2.1949811  0.074038489   0.10888743 
    4800   -949.52087    44.690277    -904.8306    1600.6436    5550.8714    2.1952042   0.29041123   0.12561467 
    4900   -950.23411    42.525692   -907.70842    1523.1161   -5818.6431    2.1713497  0.093660884   0.11431046 
    5000   -952.17545    43.619382   -908.55607    1562.2881    -6668.014    2.1706115  0.084517534   0.11359746 
    5100   -945.34827    45.869705   -899.47857    1642.8865    144.14924    2.1758897   0.10479733   0.11501032 
    5200   -948.40526    44.369916   -904.03535    1589.1695    5737.2043    2.1956525   0.16788191   0.10904762 
    5300   -952.28668    45.055184    -907.2315    1613.7133   -3113.7203     2.181071  0.067677342   0.10099655 
    5400   -948.41044    43.745829   -904.66461     1566.817   -6124.9326     2.166169  0.035843899   0.13123133 
    5500   -944.28832    45.528184   -898.76013    1630.6545    260.92458    2.1680408   0.24175583   0.11443555 
    5600   -950.04417    43.817972   -906.22619    1569.4009     8426.488    2.2027744   0.01257678   0.12663523 
    5700   -949.38153    42.627484   -906.75405    1526.7619    2112.6738    2.1881302   0.23314143   0.10199855 
    5800   -947.71889    48.187319   -899.53157     1725.895   -9086.7996    2.1562694   0.08859619   0.10891643 
