LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00111327 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1596.2128    -942.6951            0   -898.12853   -12160.171    4705.9808 
Loop time of 2.29944 on 1 procs for 3200 steps with 217 atoms

Performance: 360.714 ns/day, 0.067 hours/ns, 1391.642 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1963     | 2.1963     | 2.1963     |   0.0 | 95.52
Neigh   | 0.053659   | 0.053659   | 0.053659   |   0.0 |  2.33
Comm    | 0.015019   | 0.015019   | 0.015019   |   0.0 |  0.65
Output  | 2.3644e-05 | 2.3644e-05 | 2.3644e-05 |   0.0 |  0.00
Modify  | 0.029427   | 0.029427   | 0.029427   |   0.0 |  1.28
Other   |            | 0.004984   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4108 ave 4108 max 4108 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8216 ave 8216 max 8216 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8216
Ave neighs/atom = 37.8618
Neighbor list builds = 91
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.661 | 9.661 | 9.661 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -942.6951    44.566567   -898.12853    1596.2128   -12160.171    2.1430831            0 6.3056373e-32 
    3300   -940.37709    43.412704   -896.96439    1554.8856   -4599.7183    2.1564753   0.38803121   0.12430646 
    3400    -952.5673     48.17302   -904.39427    1725.3829    9818.5386    2.2126641  0.088315322   0.10489936 
    3500   -945.49071    45.010002   -900.48071     1612.095    2764.4833    2.1799633   0.29755438   0.13045569 
    3600   -944.36256    47.200161    -897.1624    1690.5386    -11653.22    2.1451083   0.10072085   0.16488893 
    3700   -946.42298    47.540478    -898.8825    1702.7275   -1513.4554    2.1731348   0.13725639   0.11492948 
    3800   -948.49374    44.435806   -904.05793    1591.5294    10238.097      2.20693  0.081103624   0.12417539 
    3900   -940.01535    45.634333   -894.38102    1634.4563   -1137.7856    2.1559029   0.07791034   0.12372469 
    4000   -942.16816    45.908009   -896.26015    1644.2584    -3125.515    2.1591778  0.010367522   0.11973936 
    4100   -948.76003    49.823732   -898.93629    1784.5054    2791.6971    2.1883366   0.11181822  0.098819742 
    4200   -949.79124    47.557087   -902.23415    1703.3224    1974.4642    2.1864753  0.016089768  0.093862481 
    4300   -937.37982    45.946084   -891.43373    1645.6221   -6046.5282    2.1424344   0.11757983   0.10735971 
    4400   -943.61457    48.256354   -895.35821    1728.3676    4726.7844    2.1825603   0.28709964   0.15484563 
    4500   -945.13948    46.223589   -898.91589    1655.5613    5473.0527    2.1920725   0.36353841   0.15534534 
    4600   -945.60814    44.851294   -900.75685    1606.4107   -6487.0029    2.1599436   0.10580959   0.16544917 
    4700   -939.48303    48.950601   -890.53243     1753.233   -4888.1914    2.1483402   0.10320552   0.13770772 
    4800   -941.92606    44.776532   -897.14953     1603.733    11407.857    2.2017444  0.072671617   0.14641491 
    4900   -946.89179    47.046377   -899.84542    1685.0306    747.65842    2.1792681   0.01360236   0.12429647 
    5000   -941.65647    46.851324   -894.80514    1678.0445   -9083.0544    2.1404031   0.27237304   0.14186289 
    5100   -939.62022     49.33427   -890.28595    1766.9747    252.67763    2.1621867   0.11470867   0.13712846 
    5200   -952.59453    53.148147   -899.44638    1903.5739    9900.9334     2.208705  0.030107354   0.14508459 
    5300   -943.78287    45.547211   -898.23566    1631.3359   -3788.0347    2.1628026   0.23051704   0.14684987 
    5400   -942.32044    47.910147   -894.41029    1715.9677   -10942.922    2.1377612   0.22385108   0.16667911 
    5500   -948.45776    43.692062    -904.7657    1564.8912    9016.4158    2.2039071  0.014305697   0.16509565 
    5600   -947.47536    47.514946   -899.96041    1701.8131    3487.4835    2.1898705   0.20350945   0.16858852 
    5700    -943.1979    46.648478   -896.54942    1670.7793   -7345.2029    2.1532632   0.06929139   0.15615526 
    5800    -945.0472    47.016687   -898.03051    1683.9672   -2091.1553    2.1680845   0.13938961   0.12581685 
