LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00101523 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1641.7188   -943.48971            0    -897.6526   -9066.8433    4700.2408 
Loop time of 2.26323 on 1 procs for 3200 steps with 217 atoms

Performance: 366.485 ns/day, 0.065 hours/ns, 1413.907 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1853     | 2.1853     | 2.1853     |   0.0 | 96.56
Neigh   | 0.029037   | 0.029037   | 0.029037   |   0.0 |  1.28
Comm    | 0.014271   | 0.014271   | 0.014271   |   0.0 |  0.63
Output  | 2.5477e-05 | 2.5477e-05 | 2.5477e-05 |   0.0 |  0.00
Modify  | 0.029497   | 0.029497   | 0.029497   |   0.0 |  1.30
Other   |            | 0.005095   |            |       |  0.23

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4131 ave 4131 max 4131 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8262 ave 8262 max 8262 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8262
Ave neighs/atom = 38.0737
Neighbor list builds = 49
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.664 | 9.664 | 9.664 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -943.48971    45.837104    -897.6526    1641.7188   -9066.8433    2.1457003            0 8.0261347e-32 
    3300    -944.2941    48.390664   -895.90344    1733.1781   -3784.5214    2.1583467   0.17897282   0.11314016 
    3400   -951.37768    46.652619   -904.72506    1670.9276    12101.905    2.2136958   0.05130428   0.10922562 
    3500   -945.28288    48.016238   -897.26664    1719.7675   -2906.5514     2.162757   0.15511391   0.11774756 
    3600   -942.58908    45.569709   -897.01937    1632.1417   -9098.6583    2.1437358   0.16499513   0.14336038 
    3700   -946.21766    45.650047   -900.56761    1635.0191    5784.5201    2.1863184   0.44227234   0.10124018 
    3800   -945.72465    41.194245   -904.53041    1475.4285    13020.505    2.2039624  0.096396513  0.095034084 
    3900   -944.11624    49.111537    -895.0047    1758.9971   -11430.315    2.1390947  0.021785855   0.11829015 
    4000   -942.80962    43.859292   -898.95033    1570.8808   -3683.1814    2.1553973   0.16060742   0.10829769 
    4100   -947.31162     47.52594   -899.78568    1702.2068    11386.176    2.2015581   0.22145968  0.089890685 
    4200   -937.24518    47.445679    -889.7995    1699.3321    1600.9429    2.1587596   0.27060201   0.11864515 
    4300   -942.95211    45.720073   -897.23203    1637.5272   -7115.0542    2.1496875     0.122133   0.11427336 
    4400   -947.17755    47.147378   -900.03017    1688.6481   -717.03827    2.1751526  0.069500385   0.14165156 
    4500   -938.90244    43.809814   -895.09262    1569.1087    11055.043    2.1901039    0.5210571   0.15274688 
    4600   -945.01048    52.581659   -892.42882    1883.2843    -6743.668    2.1508838    0.1187646   0.12113216 
    4700   -946.79499    45.762041   -901.03295    1639.0303   -5581.5525    2.1618339  0.038500844   0.11158876 
    4800   -944.40046    47.272569   -897.12789     1693.132    6681.5629    2.1918934   0.12610364   0.11898929 
    4900   -941.59238    49.043791   -892.54859    1756.5707      2521.97     2.172972   0.14679999   0.12550787 
    5000   -942.56234    44.924527   -897.63781    1609.0337   -10159.537    2.1426246   0.29376411   0.13246298 
    5100   -947.90274    47.043111   -900.85963    1684.9136   -1028.3405    2.1783856 0.0099311175   0.11778225 
    5200   -944.67013    48.655018   -896.01511    1742.6463    11196.817    2.2020485   0.27313375   0.12527759 
    5300   -948.07725    49.324524   -898.75272    1766.6256   -7443.0506    2.1617329   0.20485471   0.13721336 
    5400    -951.7419    45.022601    -906.7193    1612.5463   -8421.4627    2.1660173  0.073207661   0.12718421 
    5500   -943.54441      44.7156   -898.82881    1601.5506    5304.8476    2.1860497   0.03996706   0.14378972 
    5600    -941.7092    45.662633   -896.04657    1635.4699    8099.0739    2.1859808   0.15895548   0.14256602 
    5700   -947.61284      45.2069   -902.40594    1619.1472   -8132.2489    2.1561936   0.10378988   0.11058472 
    5800   -948.86135    46.075058   -902.78629    1650.2415   -3232.5464     2.171932   0.10960847   0.10681879 
