LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00105405 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1652.3113    -944.0942            0   -897.96135   -7226.3961     4690.424 
Loop time of 2.28935 on 1 procs for 3200 steps with 217 atoms

Performance: 362.304 ns/day, 0.066 hours/ns, 1397.778 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1848     | 2.1848     | 2.1848     |   0.0 | 95.43
Neigh   | 0.054595   | 0.054595   | 0.054595   |   0.0 |  2.38
Comm    | 0.015114   | 0.015114   | 0.015114   |   0.0 |  0.66
Output  | 2.5152e-05 | 2.5152e-05 | 2.5152e-05 |   0.0 |  0.00
Modify  | 0.029742   | 0.029742   | 0.029742   |   0.0 |  1.30
Other   |            | 0.005038   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4219 ave 4219 max 4219 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8438 ave 8438 max 8438 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8438
Ave neighs/atom = 38.8848
Neighbor list builds = 92
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.662 | 9.662 | 9.662 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -944.0942    46.132848   -897.96135    1652.3113   -7226.3961    2.1501911            0 4.601546e-32 
    3300   -943.41627    45.420781   -897.99549    1626.8076   -12114.357     2.138774   0.54402698  0.094474336 
    3400   -939.26714     50.35048   -888.91666    1803.3716     11014.68    2.1788691   0.50067431   0.11725705 
    3500   -945.71438    50.493217   -895.22116    1808.4839    9679.5807    2.1907215   0.24456875   0.12704293 
    3600   -945.32963    45.657171   -899.67245    1635.2743   -13369.816    2.1400363   0.28963668   0.15719194 
    3700   -939.88329    45.137905   -894.74539    1616.6761   -4896.9731    2.1533129   0.61376925   0.15239811 
    3800   -942.58267     48.74538   -893.83729    1745.8827    15591.266      2.19872   0.35204157   0.14256478 
    3900   -946.87928    44.694799   -902.18448    1600.8056     4571.891    2.1846635  0.023808918   0.14697316 
    4000   -942.63579    44.503196   -898.13259    1593.9431   -12083.662    2.1351175   0.89770376   0.14025688 
    4100   -939.98637    45.202119   -894.78425     1618.976    1632.9844    2.1691722    0.9194538   0.13826896 
    4200   -947.44608    44.174508   -903.27157    1582.1707    14657.413    2.2175242    1.3704436   0.11461919 
    4300   -941.93077    43.104271    -898.8265    1543.8387   -3238.4354    2.1595293    1.4157101   0.11665013 
    4400   -941.42435    45.291874   -896.13247    1622.1907   -9650.1444    2.1428641   0.34860167   0.16037638 
    4500   -948.21616    48.416197   -899.79996    1734.0926    5418.4743     2.191337    1.2673516   0.15686168 
    4600   -948.29953    45.193512   -903.10602    1618.6677     11495.87    2.2072539   0.82055814   0.15630168 
    4700    -942.3679    48.682876   -893.68502    1743.6441   -10803.349    2.1350727   0.59969735   0.15114992 
    4800   -941.96168    43.107849   -898.85383    1543.9668   -3454.9098    2.1603905    1.1880711   0.14717553 
    4900   -947.96326    47.739002   -900.22426    1709.8379    10478.988    2.2074006    1.5039847   0.16046977 
    5000   -943.63875    52.630628   -891.00812    1885.0382   -1474.1454    2.1631325   0.93595249   0.15563443 
    5100   -947.34554    50.059074   -897.28646    1792.9345   -10905.309    2.1498204    1.0836783   0.15137313 
    5200   -947.96851    47.708032   -900.26048    1708.7287    1042.7766    2.1818475    1.0320502   0.12576451 
    5300   -940.68132    46.409605   -894.27171    1662.2238    10541.097    2.1942184   0.71386215   0.13980982 
    5400   -942.00249    47.915225   -894.08727    1716.1496   -5434.4897    2.1557312    0.9200484   0.13489721 
    5500   -948.53245    46.382181   -902.15027    1661.2415   -7836.4194    2.1642399   0.50694562   0.14889908 
    5600   -942.46035    45.872922   -896.58742    1643.0017    7232.9827    2.1911605   0.93488999   0.16219036 
    5700   -944.62152    51.182603   -893.43891    1833.1752    2837.0875    2.1767433    1.1763541   0.16287668 
    5800   -947.34586    44.206321   -903.13954    1583.3101   -6885.0634    2.1628141   0.89695844   0.15064473 
