LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000964665 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1289.2431   -956.35675            0   -920.36084    11361.583    4525.7106 
Loop time of 2.3382 on 1 procs for 3200 steps with 217 atoms

Performance: 354.734 ns/day, 0.068 hours/ns, 1368.574 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2729     | 2.2729     | 2.2729     |   0.0 | 97.21
Neigh   | 0.017244   | 0.017244   | 0.017244   |   0.0 |  0.74
Comm    | 0.014045   | 0.014045   | 0.014045   |   0.0 |  0.60
Output  | 2.4099e-05 | 2.4099e-05 | 2.4099e-05 |   0.0 |  0.00
Modify  | 0.029283   | 0.029283   | 0.029283   |   0.0 |  1.25
Other   |            | 0.004753   |            |       |  0.20

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4321 ave 4321 max 4321 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8642 ave 8642 max 8642 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8642
Ave neighs/atom = 39.8249
Neighbor list builds = 29
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -956.35675    35.995915   -920.36084    1289.2431    11361.583    2.2284474            0 6.8249251e-32 
    3300   -956.01108    38.371842   -917.63924    1374.3402     5855.233    2.2179856    0.1806404  0.069722098 
    3400   -953.30977    39.088462    -914.2213     1400.007   -4472.7354    2.1846214  0.047475167  0.089099739 
    3500   -955.87995    39.110678   -916.76927    1400.8027   -11491.624    2.1724138  0.019371152  0.083410969 
    3600   -958.61113    36.788677   -921.82246     1317.637   -1660.8154    2.2036825   0.16563649  0.076320427 
    3700   -952.39403    38.908649   -913.48538    1393.5667    8173.1965    2.2131546   0.26085901   0.07614126 
    3800   -949.46034    35.145919   -914.31442    1258.7994    9847.4371    2.2113839  0.069355872  0.098190794 
    3900   -953.97615    35.877053    -918.0991    1284.9859   -4551.5742    2.1900775  0.041060738   0.10514246 
    4000   -951.91333    35.892405   -916.02093    1285.5358   -6283.1153    2.1773487   0.19569997   0.11886949 
    4100   -950.44048    39.019805   -911.42067    1397.5479    1.4972145    2.1884446  0.054598214   0.10376834 
    4200   -953.37061    38.561209    -914.8094    1381.1227    6359.5701    2.2104978   0.32760761   0.10051051 
    4300   -956.03975    39.025313   -917.01444    1397.7452    4334.8049    2.2128428   0.36758019  0.090682701 
    4400   -952.35572    43.118158   -909.23757     1544.336   -1841.9301    2.1836935   0.10139617  0.082332404 
    4500   -950.12281    37.543547   -912.57926    1344.6737   -1788.9643    2.1847382   0.15250558  0.086167076 
    4600   -954.36162    37.649834   -916.71179    1348.4805   -1917.7987     2.194484  0.069442085  0.074725204 
    4700   -954.76023    40.393659   -914.36657    1446.7544    3951.0135    2.2042821  0.051237415  0.078851541 
    4800   -948.93979    40.731996   -908.20779    1458.8724    2851.3507    2.1923257   0.48731803   0.11226607 
    4900   -956.32289    39.958113   -916.36478    1431.1547   -104.46548    2.2023016  0.012684826   0.10197238 
    5000   -956.04402    40.284817    -915.7592     1442.856   -2799.1293    2.1924818  0.036549275  0.095308202 
    5100   -949.25815    38.542072   -910.71608    1380.4372    219.41362    2.1870697  0.053206143   0.11071796 
    5200   -955.51556    41.728481   -913.78708    1494.5629   -2304.3539    2.1930047  0.083090546   0.11380292 
    5300   -956.52897    39.195437   -917.33354    1403.8384   -9.5872329      2.19939   0.28469832  0.099506168 
    5400   -955.14488    40.463516   -914.68136    1449.2564     1670.612    2.2006386   0.01548548  0.093170405 
    5500   -952.14137    39.113754   -913.02761    1400.9128    822.29045    2.1934603  0.035145417   0.08380002 
    5600   -957.45392    35.976903   -921.47702    1288.5622   -191.36447    2.2052071   0.24666443  0.080403317 
    5700   -956.08627    38.382109   -917.70416     1374.708   -4125.4409    2.1907719   0.10970413   0.10364583 
    5800   -955.11861    40.757292   -914.36132    1459.7784   -2123.4468    2.1911572   0.15321399  0.085320578 
