LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00101742 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1343.9124   -957.62046            0   -920.09817    12104.575    4518.4804 
Loop time of 2.31645 on 1 procs for 3200 steps with 217 atoms

Performance: 358.066 ns/day, 0.067 hours/ns, 1381.426 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2637     | 2.2637     | 2.2637     |   0.0 | 97.72
Neigh   | 0.004695   | 0.004695   | 0.004695   |   0.0 |  0.20
Comm    | 0.013521   | 0.013521   | 0.013521   |   0.0 |  0.58
Output  | 2.602e-05  | 2.602e-05  | 2.602e-05  |   0.0 |  0.00
Modify  | 0.029697   | 0.029697   | 0.029697   |   0.0 |  1.28
Other   |            | 0.004831   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4187 ave 4187 max 4187 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8374 ave 8374 max 8374 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8374
Ave neighs/atom = 38.5899
Neighbor list builds = 8
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.667 | 9.667 | 9.667 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -957.62046    37.522291   -920.09817    1343.9124    12104.575    2.2320132            0 5.4785574e-32 
    3300   -956.32336    38.888057    -917.4353    1392.8292    8679.4014     2.222797   0.01650621  0.077570349 
    3400   -951.67015    37.824487   -913.84566    1354.7359   -4239.7997    2.1796332    0.0111924  0.083212758 
    3500   -951.88914     34.94447   -916.94467    1251.5842   -10085.277    2.1657855  0.097704476  0.080118918 
    3600   -958.02655    37.931448    -920.0951    1358.5669   -3269.7449    2.1963174    0.1277128  0.088005882 
    3700   -950.07809    38.265528   -911.81256    1370.5325    9690.2368    2.2113805  0.089418405  0.084435617 
    3800   -952.81808    38.425962   -914.39212    1376.2786    8494.8266    2.2155673   0.11950244   0.11489825 
    3900   -955.43803    37.369365   -918.06866    1338.4351   -3733.0392    2.1942573  0.092638835   0.10503158 
    4000    -953.3257    42.766607    -910.5591    1531.7448   -10689.001    2.1675748  0.037474895   0.12408867 
    4100   -953.39511    40.828265   -912.56685    1462.3204    236.78853    2.1924235  0.021015502     0.092011 
    4200   -954.82244    38.584916   -916.23752    1381.9718     8203.173    2.2205158  0.037702831  0.079349852 
    4300   -956.47123    41.482564   -914.98866     1485.755    5067.2053     2.211735  0.076822026  0.092971293 
    4400   -953.57058    44.571423   -908.99916    1596.3867    -8414.393    2.1709584  0.087784021  0.094312752 
    4500   -952.88432     35.66105   -917.22327    1277.2495   -4487.3722    2.1816378   0.15365961  0.094131297 
    4600   -953.46292    37.785779   -915.67714    1353.3496    2766.7585    2.2007535  0.016112543  0.083670884 
    4700   -952.20184    41.361014   -910.84083    1481.4015    8880.2111    2.2109268   0.11798775  0.092572643 
    4800   -949.56358    33.268171   -916.29541    1191.5452    6847.1374    2.2048657   0.29963705   0.11297517 
    4900   -954.18398    36.311995   -917.87199     1300.564   -7282.9566    2.1780528   0.11763352   0.11010088 
    5000   -952.65817    38.367084   -914.29108    1374.1698   -7163.6704    2.1755541   0.10866441   0.10902721 
    5100   -953.38071    40.723417   -912.65729    1458.5651    4539.4652     2.204816  0.060068215   0.09626024 
    5200   -956.56826      36.0965   -920.47176    1292.8457    14979.097    2.2377554  0.074101769  0.092293235 
    5300    -954.4962    39.389595    -915.1066    1410.7924    2154.2482    2.1969206 0.0073736709  0.089178224 
    5400   -951.19161    37.053404    -914.1382    1327.1186   -9388.1138     2.166207   0.12745753  0.090686121 
    5500   -955.59145    35.910049    -919.6814    1286.1677   -6023.2411    2.1831778   0.10344254  0.088483804 
    5600   -957.03878    39.101483    -917.9373    1400.4733      6300.24    2.2149763  0.051623544  0.087930921 
    5700   -952.00235    39.447969   -912.55438    1412.8832    10959.412    2.2180653  0.098867415    0.1022096 
    5800    -956.2851    39.138237   -917.14686    1401.7897   -1909.9305    2.1955247   0.09586442  0.095676551 
    5900   -954.29779    34.987465   -919.31032    1253.1241   -9375.9979    2.1727034  0.052010068  0.099144049 
