LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000941494 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1422.9331   -958.64668            0   -918.91812    1354.5717    4561.5445 
Loop time of 2.3221 on 1 procs for 3200 steps with 217 atoms

Performance: 357.193 ns/day, 0.067 hours/ns, 1378.060 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2661     | 2.2661     | 2.2661     |   0.0 | 97.59
Neigh   | 0.0083721  | 0.0083721  | 0.0083721  |   0.0 |  0.36
Comm    | 0.01353    | 0.01353    | 0.01353    |   0.0 |  0.58
Output  | 2.5526e-05 | 2.5526e-05 | 2.5526e-05 |   0.0 |  0.00
Modify  | 0.029332   | 0.029332   | 0.029332   |   0.0 |  1.26
Other   |            | 0.004761   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4248 ave 4248 max 4248 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8496 ave 8496 max 8496 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8496
Ave neighs/atom = 39.1521
Neighbor list builds = 14
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -958.64668    39.728565   -918.91812    1422.9331    1354.5717    2.2109415            0 1.0347594e-31 
    3300   -954.78778    35.046106   -919.74167    1255.2244    8037.6724    2.2192754   0.11822322  0.079264084 
    3400   -956.37727    41.456715   -914.92055    1484.8292    1529.5898    2.2015052   0.13099392  0.081903854 
    3500   -955.67297    41.069748   -914.60322    1470.9694   -6426.3636    2.1820276  0.002012277  0.097289292 
    3600   -958.07568    35.986606   -922.08908    1288.9097   -4578.2198    2.1949997   0.18898732   0.10270579 
    3700   -956.64627    39.730607   -916.91567    1423.0063    54.742836    2.2018669   0.47152485   0.08466984 
    3800   -952.06753    38.296881   -913.77065    1371.6554    7023.8696    2.2109933    0.1211877   0.10149324 
    3900   -955.69992    37.760938   -917.93898    1352.4599     3272.484    2.2073567   0.21135765  0.090325149 
    4000    -956.9512    35.322569   -921.62863    1265.1263    -3539.995    2.1958586   0.14339012   0.10757111 
    4100   -951.34271    37.466138   -913.87657    1341.9012   -4937.2265    2.1770827  0.020242633  0.096081614 
    4200   -954.64959    39.279023   -915.37057    1406.8322   -616.33729    2.1981402   0.24119468  0.092926486 
    4300   -955.96244    37.265549   -918.69689    1334.7168    7926.9801    2.2218824   0.10041319   0.08768436 
    4400   -953.52695    40.057268   -913.46968    1434.7061    7518.3258    2.2110381  0.050910815  0.070830848 
    4500   -953.30665     40.89423   -912.41242     1464.683    -4332.511    2.1846219   0.16277805  0.096152278 
    4600   -953.02117    36.823217   -916.19795    1318.8741   -7714.5096    2.1751648   0.15741527   0.10462492 
    4700   -953.08811    37.106592   -915.98152    1329.0236   -1631.8624    2.1923961   0.19854871   0.10190875 
    4800   -952.06623    44.254258   -907.81198     1585.027    5105.2874    2.1998636    0.1083549  0.098150464 
    4900   -953.81413    39.310454   -914.50368    1407.9579    7857.4019    2.2160092  0.046418609   0.10667228 
    5000   -955.64871    38.921928   -916.72679    1394.0423   -2897.1009    2.1912418  0.042859638  0.095376483 
    5100   -950.46745    39.247509   -911.21994    1405.7034   -7265.6061    2.1652249  0.046742294   0.10013884 
    5200   -950.85299    39.469937   -911.38305      1413.67   -3213.0622    2.1801727   0.14529511   0.10624091 
    5300   -957.71979     41.17863   -916.54116    1474.8692    4521.8878    2.2137457  0.065813956  0.088148654 
    5400   -952.45289    38.404193    -914.0487    1375.4989    9406.6319    2.2167122  0.086037429  0.097984287 
    5500   -953.28468    43.165117   -910.11956     1546.018   -3023.1157    2.1844253   0.08782124  0.091554475 
    5600   -954.77919    37.508472   -917.27071    1343.4175   -8817.0369    2.1751842    0.3701215   0.10139365 
    5700   -954.13272    37.038739   -917.09398    1326.5933   -6758.1749    2.1804977   0.22356897   0.10667481 
    5800    -955.0657    40.635988   -914.42971    1455.4337    3337.4257    2.2079414   0.25130571  0.098029021 
