LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000976145 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1500   -951.04357            0   -909.16328   -115839.99    5330.9442 
    3200    1540.4495   -949.20242            0   -906.19277    4909.7997    4589.8244 
Loop time of 2.2792 on 1 procs for 3200 steps with 217 atoms

Performance: 363.917 ns/day, 0.066 hours/ns, 1404.000 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2305     | 2.2305     | 2.2305     |   0.0 | 97.86
Neigh   | 0.0011485  | 0.0011485  | 0.0011485  |   0.0 |  0.05
Comm    | 0.013408   | 0.013408   | 0.013408   |   0.0 |  0.59
Output  | 2.6449e-05 | 2.6449e-05 | 2.6449e-05 |   0.0 |  0.00
Modify  | 0.02927    | 0.02927    | 0.02927    |   0.0 |  1.28
Other   |            | 0.004868   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4154 ave 4154 max 4154 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8308 ave 8308 max 8308 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8308
Ave neighs/atom = 38.2857
Neighbor list builds = 2
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.656 | 9.656 | 9.656 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -949.20242    43.009644   -906.19277    1540.4495    4909.7997    2.1973189            0 4.5751536e-32 
    3300   -951.28568    38.452222   -912.83346    1377.2192    1245.1515    2.1955571   0.16597902  0.099632324 
    3400   -952.82544    39.916001   -912.90944    1429.6464   -6921.2256    2.1757304  0.089502395    0.1154096 
    3500   -951.33133    43.134568   -908.19676    1544.9238   -3023.4485    2.1826424  0.041414276   0.11401494 
    3600   -949.14836    41.292928   -907.85543    1478.9629    8938.4882    2.2048282   0.37230765   0.12214357 
    3700   -953.03543    37.081069   -915.95436    1328.1094    7682.8063    2.2127133  0.078216134  0.085392104 
    3800   -950.13626    41.556793   -908.57947    1488.4136   -7670.5435    2.1669351   0.22865663   0.10925403 
    3900    -946.9364    38.703788   -908.23261    1386.2293   -4359.2068    2.1717908    0.2443521   0.12518428 
    4000   -952.84468     40.33656   -912.50812    1444.7093    6283.1096    2.2089948    0.3819114   0.10861976 
    4100   -955.13279    40.932116   -914.20067      1466.04    7192.1838    2.2169705  0.097910357   0.09129867 
    4200   -953.79638    46.974183    -906.8222    1682.4449   -10579.205    2.1682419     0.127952   0.10796137 
    4300   -950.06741    39.932376   -910.13504    1430.2329   -7774.1913    2.1650692  0.054791391  0.092722966 
    4400   -950.51209    39.763121   -910.74897    1424.1708    5660.5883    2.2058621   0.18850422   0.10981782 
    4500   -944.80502    43.344101   -901.46092    1552.4285    10537.805    2.2011538   0.13699823   0.12647641 
    4600   -949.35629    41.814937   -907.54135    1497.6594    300.49069    2.1860787   0.15264798  0.093398923 
    4700   -950.69756    39.603763    -911.0938    1418.4632   -7972.1687    2.1720279    0.3897861   0.11727101 
    4800   -949.68569    43.416926   -906.26876    1555.0368    -712.1407    2.1840776   0.16427312   0.13925623 
    4900   -949.10027    45.621142   -903.47913    1633.9839    5066.2755    2.1967691   0.36581607    0.1231905 
    5000   -951.05656     41.08484   -909.97172      1471.51    1820.8913      2.19127   0.18473087   0.11205633 
    5100   -951.01439    41.575442   -909.43895    1489.0816   -5085.8576    2.1725999   0.22962893   0.10436232 
    5200   -949.67443    47.892021   -901.78241    1715.3185   -4991.9216    2.1673563   0.12550366  0.099739012 
    5300   -950.96662    41.366087   -909.60053    1481.5832    7432.8218    2.2063617   0.28454524    0.1110388 
    5400   -951.56021    41.270435   -910.28978    1478.1573    735.60729    2.1891145   0.15206311   0.11012291 
    5500   -950.25203      42.6302   -907.62183    1526.8592   -7444.7081    2.1654898  0.087751096   0.10459794 
    5600   -945.40979    43.606482    -901.8033    1561.8261   -2918.1889    2.1678635    0.1995307   0.11172044 
    5700   -951.88222    41.389074   -910.49315    1482.4065    8229.3205    2.2075334   0.12043254   0.10238844 
    5800   -949.39294    39.131495   -910.26145    1401.5482    1090.9613    2.1867245   0.19221027   0.11938988 
