LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00104705 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1500   -951.04357            0   -909.16328   -115839.99    5330.9442 
    3200     1603.377   -949.16071            0   -904.39412    1793.0939    4602.1116 
Loop time of 2.33807 on 1 procs for 3200 steps with 217 atoms

Performance: 354.755 ns/day, 0.068 hours/ns, 1368.652 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2426     | 2.2426     | 2.2426     |   0.0 | 95.92
Neigh   | 0.04575    | 0.04575    | 0.04575    |   0.0 |  1.96
Comm    | 0.014847   | 0.014847   | 0.014847   |   0.0 |  0.63
Output  | 2.5095e-05 | 2.5095e-05 | 2.5095e-05 |   0.0 |  0.00
Modify  | 0.029798   | 0.029798   | 0.029798   |   0.0 |  1.27
Other   |            | 0.005065   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    953 ave 953 max 953 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4236 ave 4236 max 4236 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8472 ave 8472 max 8472 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8472
Ave neighs/atom = 39.0415
Neighbor list builds = 77
Dangerous builds = 3
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -949.16071    44.766592   -904.39412     1603.377    1793.0939    2.1914523            0 3.8005018e-32 
    3300   -950.49275    45.048289   -905.44446    1613.4663    9221.9933    2.2109662 0.0069313202   0.10690929 
    3400   -950.15087    39.362926   -910.78794    1409.8373   -1317.5127    2.1886853   0.67001904   0.13445987 
    3500    -948.1147    40.944551   -907.17015    1466.4853   -8731.5047     2.163665   0.06201781   0.13385016 
    3600   -950.83687    46.956468    -903.8804    1681.8104   -304.95953    2.1816849   0.03684113   0.12435123 
    3700   -955.01706    42.973844   -912.04322    1539.1673     12190.28    2.2237008   0.83632184   0.10946236 
    3800   -951.18607    43.900399   -907.28567    1572.3531    1688.4204    2.1931199   0.43509803   0.10704389 
    3900   -946.67642    39.821663   -906.85476    1426.2675   -9336.7779    2.1555193    0.1714088   0.13925302 
    4000   -949.09947    35.111868    -913.9876    1257.5798   -2915.1184    2.1845148    5.4216789   0.12655779 
    4100   -947.97802    40.128616    -907.8494    1437.2615    8888.5742    2.2070859    4.3339426   0.12691325 
    4200   -951.79116    46.271298   -905.51986    1657.2701    5359.0614    2.2007541    3.9688279   0.13111406 
    4300   -953.09728    41.123722   -911.97356    1472.9026   -5650.8805    2.1801183    1.7354407   0.11972589 
    4400   -946.16183    38.710788   -907.45104      1386.48   -5275.4625    2.1653509   0.44367482   0.14008908 
    4500   -946.84129     42.40286   -904.43843    1518.7167    5612.5504    2.1872294   0.19502885   0.12523798 
    4600   -954.33631    44.794579   -909.54174    1604.3794    8207.9485    2.2132701  0.043810349   0.10485256 
    4700   -951.06092    41.112906   -909.94802    1472.5152    7.3321966     2.189713   0.23553697   0.12971763 
    4800   -947.25119    44.686021   -902.56517    1600.4912   -9244.6755    2.1489195   0.10430215   0.12824527 
    4900   -953.10869    42.892098   -910.21659    1536.2394   -4476.7331    2.1815367   0.27298555   0.12269477 
    5000   -952.99553    44.460186   -908.53535    1592.4026     8413.879    2.2123092   0.19514279   0.12332255 
    5100   -950.13531     47.73653   -902.39878    1709.7494    4531.7883    2.1914206   0.17217464   0.12011416 
    5200   -947.70315    39.602419   -908.10073     1418.415   -6940.6035    2.1645493   0.11507975   0.13652034 
    5300   -952.40383    42.675302   -909.72852    1528.4746   -10145.873    2.1630264   0.14897903   0.11871181 
    5400   -950.46817    45.875965   -904.59221    1643.1107     5809.812    2.1983503  0.058273869   0.13328245 
    5500   -948.65917    43.917387   -904.74178    1572.9615    10332.755    2.2055842  0.099737862   0.14064313 
    5600   -947.72017    36.896355   -910.82381    1321.4936   -2624.1768      2.17887   0.36315499   0.14898295 
    5700   -950.06078    41.692818   -908.36797    1493.2856   -8121.2924    2.1660031   0.15162976   0.13367562 
    5800   -948.37775    43.045213   -905.33254    1541.7234    3954.6118    2.1905512   0.24904143   0.11936232 
    5900   -955.66456    41.824898   -913.83967    1498.0162    7555.0448    2.2175877    3.0104897   0.12300816 
    6000   -949.56257    39.518795   -910.04378    1415.4199   -2597.3757    2.1800051      3.23354   0.13903415 
    6100   -950.72026     43.78067   -906.93959    1568.0648   -9595.2676    2.1638067     5.630278    0.1594899 
    6200   -952.50799    40.618977   -911.88901    1454.8244    397.99976    2.1936156    4.1731265   0.15974581 
