LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00100974 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1500   -951.04357            0   -909.16328   -115839.99    5330.9442 
    3200    1516.4134   -950.87091            0   -908.53236   -4134.1384    4627.0443 
Loop time of 2.33749 on 1 procs for 3200 steps with 217 atoms

Performance: 354.842 ns/day, 0.068 hours/ns, 1368.990 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.255      | 2.255      | 2.255      |   0.0 | 96.47
Neigh   | 0.032907   | 0.032907   | 0.032907   |   0.0 |  1.41
Comm    | 0.01444    | 0.01444    | 0.01444    |   0.0 |  0.62
Output  | 2.5037e-05 | 2.5037e-05 | 2.5037e-05 |   0.0 |  0.00
Modify  | 0.030069   | 0.030069   | 0.030069   |   0.0 |  1.29
Other   |            | 0.005008   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4225 ave 4225 max 4225 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8450 ave 8450 max 8450 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8450
Ave neighs/atom = 38.9401
Neighbor list builds = 55
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -950.87091    42.338551   -908.53236    1516.4134   -4134.1384    2.1796437            0 6.6298355e-32 
    3300   -951.79786    36.572821   -915.22503    1309.9058    1295.2337    2.1933337  0.077434055  0.096749925 
    3400   -950.27841    43.042535   -907.23588    1541.6275   -1781.7264    2.1835047   0.19993597   0.10658103 
    3500   -946.96095     39.65786   -907.30309    1420.4007    6754.6443    2.1933576    0.3576672   0.11481189 
    3600   -950.23898    37.940215   -912.29876    1358.8809    2914.0973    2.1954344   0.19324887    0.1254853 
    3700   -951.10907    44.149763    -906.9593    1581.2844   -2831.1004    2.1834545   0.38394231  0.088492459 
    3800   -950.09975    45.491891   -904.60786    1629.3546   -2018.8197    2.1770277   0.15083342   0.10405986 
    3900   -949.98133    40.801996   -909.17934    1461.3795   -1100.1238    2.1845446   0.15374978   0.11286655 
    4000   -954.87942    44.978274   -909.90114    1610.9587   -2476.3842    2.1906263  0.069275758   0.10551121 
    4100    -948.2485    48.025491   -900.22301    1720.0989   -2942.9592    2.1728311     1.030729   0.11802448 
    4200   -948.67189    41.917036   -906.75485    1501.3162    4155.2908     2.188869   0.29926259  0.090474512 
    4300   -946.39385    37.418881   -908.97497    1340.2086    3327.7116    2.1847627    0.6339038   0.08789647 
    4400   -947.99967    40.845435   -907.15423    1462.9354   -1489.6757    2.1759302   0.50268417   0.11175479 
    4500   -944.03829     45.19496   -898.84333    1618.7196    -4952.411    2.1623373    4.5287422   0.13628687 
    4600   -948.69031    40.987209    -907.7031    1468.0132    5011.1067    2.1939562     3.434567   0.13187164 
    4700    -951.5099    43.267136   -908.24277    1549.6719    2119.0176    2.1896846    4.2978905   0.12380523 
    4800   -946.13949    40.626342   -905.51315    1455.0882   -4465.2441    2.1678484    3.4415313   0.12624309 
    4900   -944.81252    46.025268   -898.78725    1648.4582   -8806.9531    2.1520669    3.4322709   0.13994005 
    5000   -953.46026    44.960841   -908.49942    1610.3343    5593.2548    2.2053746    5.6351547   0.13418381 
    5100   -949.33737    40.349974    -908.9874    1445.1897    9236.0423    2.2068103    6.1364525   0.12337943 
    5200   -950.50285    40.786877   -909.71597     1460.838   -6935.9702    2.1705561    5.3586887   0.11616465 
    5300   -944.39752     43.57812    -900.8194    1560.8102   -5958.3505     2.156855    5.5621087   0.12087285 
    5400   -948.62295    44.518004   -904.10495    1594.4734    8345.8755    2.2016612    6.3647962   0.13058492 
    5500   -951.96514    43.738373   -908.22676    1566.5499    4922.0744    2.1995545    5.1493302   0.12545431 
    5600   -952.50407    42.095807   -910.40826    1507.7191   -6165.2429    2.1738893    6.2652119   0.12921305 
    5700   -946.02552    41.009727   -905.01579    1468.8197   -5000.7763    2.1661599    5.3487267   0.14716641 
    5800   -947.90113    44.086978   -903.81415    1579.0357    4045.9671    2.1901595    4.9414903   0.14507666 
    5900   -951.69297    42.420622   -909.27235    1519.3528    4298.2918    2.2009548    5.8343768   0.14392981 
    6000   -950.97868    40.783477    -910.1952    1460.7163    -1851.999    2.1823903    4.9364623   0.13621799 
    6100   -949.95816    47.898754   -902.05941    1715.5597   -6171.1132    2.1616464     5.513741   0.11927048 
    6200   -948.53849    41.580463   -906.95802    1489.2614    3282.7305    2.1896315    6.3686775   0.13217761 
    6300   -951.72768    41.871148   -909.85653    1499.6727    3713.9479    2.1978631    6.5025489   0.12048474 
    6400   -949.45254    41.149731   -908.30281    1473.8341    2382.4522    2.1824181    6.4738375   0.11701926 
    6500   -946.65397    46.023508   -900.63046    1648.3952   -6220.5407     2.160865    6.8566878   0.13523049 
    6600   -953.51976    44.089866   -909.42989    1579.1391    399.13403    2.1928751    5.3046026    0.1420826 
    6700   -951.12232    41.395128    -909.7272    1482.6234    2323.6383    2.1957182    6.2549485   0.14828456 
    6800   -951.36472    42.782444   -908.58227     1532.312   -2968.7708    2.1815073    5.9183559   0.15118199 
    6900   -946.82636    45.294289   -901.53207    1622.2772   -4957.5495    2.1647631    5.4642888    0.1517848 
    7000   -949.16744    44.900238    -904.2672    1608.1637   -317.50932    2.1819915    6.0805344   0.13399883 
    7100   -952.22768    43.600412   -908.62726    1561.6087    1957.4438    2.1915627    6.2370097   0.12680488 
