LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00104742 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1600   -951.04357            0   -906.37126   -115280.58    5330.9442 
    3200    1708.4558   -950.32927            0   -902.62886     1696.931    4611.4396 
Loop time of 2.32328 on 1 procs for 3200 steps with 217 atoms

Performance: 357.012 ns/day, 0.067 hours/ns, 1377.361 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2302     | 2.2302     | 2.2302     |   0.0 | 95.99
Neigh   | 0.041299   | 0.041299   | 0.041299   |   0.0 |  1.78
Comm    | 0.01509    | 0.01509    | 0.01509    |   0.0 |  0.65
Output  | 2.8132e-05 | 2.8132e-05 | 2.8132e-05 |   0.0 |  0.00
Modify  | 0.031352   | 0.031352   | 0.031352   |   0.0 |  1.35
Other   |            | 0.005322   |            |       |  0.23

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4158 ave 4158 max 4158 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8316 ave 8316 max 8316 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8316
Ave neighs/atom = 38.3226
Neighbor list builds = 69
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.662 | 9.662 | 9.662 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -950.32927    47.700414   -902.62886    1708.4558     1696.931    2.1870194            0 5.6230021e-32 
    3300   -945.01266    42.179234   -902.83343    1510.7072    5178.4959    2.1872368   0.11424015  0.097269258 
    3400    -947.4607    45.144342   -902.31635    1616.9066   -4133.6702    2.1696037    0.1149451   0.09974196 
    3500    -942.5178    51.206183   -891.31161    1834.0198   -6047.3556    2.1480883    0.3461926   0.11323419 
    3600   -945.48883    46.952593   -898.53624    1681.6716    8397.7791    2.1905906   0.37587591   0.13294808 
    3700   -946.33583    43.766496   -902.56934    1567.5572    2383.9029    2.1802765   0.58060642   0.10410212 
    3800   -948.83169    43.871171   -904.96052    1571.3063   -7902.8228    2.1613405  0.098680867   0.11073418 
    3900    -944.5774    47.632667   -896.94473    1706.0294   -199.42696    2.1685732 0.0038912593   0.11645712 
    4000   -947.05921    48.730762   -898.32844    1745.3592    5379.5892    2.1885069   0.11146902   0.12534907 
    4100   -948.91228      44.7683   -904.14398    1603.4382   -3757.7119    2.1723026   0.54658272   0.10176476 
    4200   -944.70735     41.62027   -903.08708    1490.6871   -4747.0751    2.1618035    0.2637826   0.10524366 
    4300   -944.25423    50.156079   -894.09815    1796.4089    1449.8314    2.1732702   0.12490377   0.11005261 
    4400     -947.889    45.610562   -902.27844    1633.6049    6502.3253     2.195928   0.51952249   0.11786926 
    4500   -943.81326    39.652222   -904.16104    1420.1988   -5790.0248    2.1598904  0.097292666   0.13259173 
    4600   -948.54139    48.218816   -900.32257    1727.0231   -9631.5783    2.1587147    0.2168248   0.12882573 
    4700   -951.15757    50.210861   -900.94671     1798.371    4929.7948    2.1957558   0.10990488   0.12086832 
    4800   -948.78555    41.150561   -907.63499    1473.8639    9442.4939    2.2067809   0.42374188   0.11002597 
    4900   -946.75347    43.381184   -903.37228    1553.7567   -6823.8794    2.1622176  0.014754324   0.11336653 
    5000     -944.406    43.111883   -901.29412    1544.1113   -6075.7313    2.1572509   0.35261642    0.1298571 
    5100   -948.01753    39.010897   -909.00664    1397.2288    8589.8727    2.2057689  0.056332014   0.12992021 
    5200   -948.01721    41.682836   -906.33438     1492.928    5197.9773    2.1959125  0.095368649   0.11044697 
    5300   -946.69027    44.920615   -901.76966    1608.8935   -4497.9228    2.1638199   0.23547008   0.11203261 
    5400   -950.48008    46.922703   -903.55737    1680.6011   -7007.2495    2.1663845   0.22094509   0.12065274 
    5500   -951.22006    41.129021   -910.09104    1473.0924    8687.0987    2.2105352  0.096426529     0.127032 
    5600   -946.99986    46.148086   -900.85178    1652.8571    2742.1157     2.182683   0.27654365   0.13751933 
    5700   -950.87048    48.749386   -902.12109    1746.0262   -8411.1644    2.1609674   0.11396188   0.12196685 
    5800   -950.79782    45.856571   -904.94125    1642.4161   -2616.4523    2.1803368  0.081412709   0.10220018 
    5900   -951.65866     41.39246    -910.2662    1482.5278    8205.0122     2.210806   0.11288685    0.1044021 
    6000   -949.32902    48.426729   -900.90229    1734.4698   -4053.7691    2.1734085  0.076037307   0.11298122 
    6100   -947.10489    45.131301   -901.97359    1616.4395   -5040.7252    2.1682383   0.20078235   0.12933849 
    6200   -948.18461    44.744649   -903.43996    1602.5911    1480.8686    2.1846055   0.32893015   0.12552184 
    6300   -948.57607    41.613446   -906.96262    1490.4427    5123.7739    2.1951819   0.18817422   0.11083015 
    6400   -952.90767    37.684685   -915.22298    1349.7288    -1217.864    2.1892537  0.027077223   0.10405979 
    6500   -946.91613     40.65435   -906.26178    1456.0914   -7226.7343    2.1629118  0.014928392   0.13603828 
    6600   -950.06384    46.239947   -903.82389    1656.1472    4929.2844    2.1970697    0.1124735   0.11726406 
    6700   -949.23559     48.15755   -901.07804    1724.8288    7458.9688    2.1958086   0.15161398    0.1059847 
    6800    -946.0002    42.822844   -903.17736     1533.759   -10151.607     2.151825  0.089129118   0.12579953 
    6900   -952.98878    42.591507   -910.39728    1525.4733   -6023.7297    2.1773563   0.33615551   0.09710574 
    7000   -948.33347    45.706716   -902.62676    1637.0488     8968.552    2.2029393   0.15123833   0.11904725 
    7100   -946.64791    44.956942   -901.69096    1610.1946    4822.0423    2.1853468   0.10134493   0.12335901 
    7200   -948.61532    41.126649   -907.48867    1473.0074    -9064.254    2.1592153   0.10261589   0.11337159 
    7300   -946.77858    39.501789   -907.27679    1414.8108    1308.2555    2.1828974  0.061658682   0.11911593 
    7400   -949.11625    48.683998   -900.43225    1743.6843    4539.9406    2.1920075  0.091582657   0.11193862 
    7500   -948.54767    44.907078   -903.64059    1608.4087   -291.12243    2.1790996   0.16837833   0.11778234 
    7600   -950.43719    41.014248   -909.42294    1468.9816   -5411.0267    2.1774603   0.22464295   0.11558943 
    7700   -946.38243    43.302488   -903.07994    1550.9381    3502.5806    2.1865892   0.19923444   0.10655341 
    7800   -946.85496    45.831455   -901.02351    1641.5165    5221.3487    2.1883115   0.63031375    0.1039742 
    7900   -946.89505    42.822811   -904.07223    1533.7578   -3569.8263    2.1712829   0.18285308   0.11325765 
    8000   -946.39395    41.466665   -904.92729    1485.1856   -1598.4483    2.1737666   0.80046798   0.11198691 
    8100    -944.2409    49.235483   -895.00542    1763.4364   -437.44914     2.168038   0.13004777   0.13574258 
    8200   -947.53457    46.996229   -900.53834    1683.2345    4313.4472    2.1884047  0.072624379   0.11122148 
    8300   -947.46824    43.172842    -904.2954    1546.2946   -1433.9284    2.1766909  0.033049807  0.098453923 
    8400   -943.96925    42.625482   -901.34377    1526.6902   -3476.4485     2.165326   0.28348056   0.11270225 
    8500   -942.45555    47.466193   -894.98935    1700.0669    1854.9087    2.1695695   0.22749175   0.11195987 
    8600   -945.46953    42.503211   -902.96632    1522.3109     7685.577    2.1950897   0.17503249   0.12852451 
    8700    -946.8195    42.841803    -903.9777     1534.438   -1718.5727    2.1725176   0.13193325   0.11155093 
    8800   -942.88753    46.341527     -896.546    1659.7854   -8055.6582    2.1420855   0.52355092   0.11621519 
    8900   -946.76333     48.19701   -898.56632    1726.2421    6066.1363    2.1856802  0.054359417   0.10206987 
    9000   -949.10617    46.263632   -902.84254    1656.9955    9585.0747    2.2024006  0.090732058   0.10330583 
    9100   -944.57241    41.273184   -903.29922    1478.2558   -3274.6415    2.1611974  0.025029064   0.13482855 
    9200   -946.17483    47.787303   -898.38753    1711.5679   -12329.173     2.144624   0.18511765   0.12918561 
    9300   -946.11735    53.394551   -892.72279    1912.3992    3158.1047     2.173502   0.30585299   0.10807118 
    9400   -948.73792    46.790048   -901.94787    1675.8498     12043.31    2.2097715   0.14436915  0.097462715 
    9500    -945.0639    41.861417   -903.20248    1499.3242   -4251.7184    2.1630887  0.069040478    0.1051197 
    9600   -945.65827    43.504657   -902.15361     1558.179   -9012.7906    2.1506466   0.14818199   0.11496976 
    9700   -954.29767    42.426036   -911.87163    1519.5468    3373.2098    2.2032847   0.36808775   0.10710322 
    9800   -953.50524    46.610818   -906.89442    1669.4305     1911.049    2.1935849  0.037871853    0.1027279 
    9900   -949.12608    46.383422   -902.74266     1661.286   -4226.2741    2.1701494   0.10430535   0.11744932 
   10000   -947.47462    45.770919    -901.7037    1639.3483   -3078.2763    2.1681829  0.079360755   0.12080556 
   10100   -952.28642    41.635802   -910.65062    1491.2435    3614.2262    2.1991918  0.096105244   0.11192748 
   10200   -950.90265    45.394163   -905.50849    1625.8543   -1661.8936    2.1829946    0.1928556   0.11273633 
   10300   -947.11953    45.245884   -901.87365    1620.5435   -1713.4003    2.1700911   0.33940762   0.10017059 
   10400   -947.55336     43.85998   -903.69338    1570.9054    140.25221    2.1774913   0.39335631   0.10506905 
   10500   -952.73965    41.620836   -911.11881    1490.7074    3405.6206    2.2005037   0.30647744   0.11556124 
   10600   -945.20888    43.380597   -901.82829    1553.7357   -2889.9002    2.1688234   0.16972039   0.11722359 
   10700   -947.75495    45.458139   -902.29682    1628.1457   -1747.2888    2.1754013    0.2504203   0.11647485 
   10800   -949.78616    43.702312   -906.08385    1565.2583    3893.8809    2.1953116   0.13613221    0.1146543 
   10900   -948.78485    37.337088   -911.44777    1337.2791    4512.5087    2.1962056   0.40063479   0.10598247 
   11000   -944.52299     43.15883   -901.36416    1545.7928   -12600.398    2.1432528    0.2326671   0.12652937 
   11100    -946.2357    43.285185   -902.95051    1550.3184    2758.4807    2.1838262   0.35366909   0.13291397 
   11200   -946.08426    43.701899   -902.38236    1565.2435    21697.183    2.2288538  0.025814986   0.11216766 
   11300   -942.75034    49.277148   -893.47319    1764.9287     -4959.68    2.1568775   0.29666694   0.12491003 
   11400   -941.82213    42.489558   -899.33257    1521.8219   -9961.8506    2.1443466    0.2868455   0.12629042 
   11500   -945.49952    42.304248   -903.19527    1515.1848    3999.0898    2.1905336   0.93787107   0.11603847 
   11600   -947.50359    45.454906   -902.04868    1628.0299    9760.3749    2.2019851   0.13454003   0.12609784 
   11700   -941.58914    47.598551   -893.99059    1704.8075   -2867.6082    2.1557815   0.28057982    0.1298495 
   11800    -943.0584    43.332358   -899.72604    1552.0079   -6583.8088    2.1552377   0.60910557   0.12478531 
   11900   -945.93336    42.644454   -903.28891    1527.3697    1583.7584    2.1814554   0.14485496   0.13093224 
   12000   -948.60007    46.446724   -902.15335    1663.5532    8238.8414    2.1979883    0.1847561   0.11091927 
   12100   -948.60273    51.637035    -896.9657    1849.4513   -2505.9327    2.1670006   0.26968982   0.10938407 
   12200    -940.5828    44.413985   -896.16882    1590.7479   -8262.3962    2.1428759   0.25610622   0.13715002 
   12300   -948.34242    45.274875   -903.06754    1621.5818   -638.03091     2.181316    0.1444422   0.10696324 
   12400   -949.05024    46.274691   -902.77555    1657.3916    9231.0094    2.2008586   0.23750419   0.11348605 
   12500   -947.86564    46.143435   -901.72221    1652.6905   -3033.0175    2.1690983   0.30234732   0.12221607 
   12600   -941.72147    48.561587   -893.15988    1739.2999   -10444.588    2.1378194  0.074178777   0.12129765 
   12700   -949.62963    47.339045   -902.29059    1695.5129    3426.8339    2.1904688   0.14525298   0.12996598 
   12800   -947.87977    44.571858   -903.30791    1596.4023    5592.6884    2.1922227  0.019008897   0.11547332 
   12900   -943.92631    41.905232   -902.02108    1500.8934    -1964.576    2.1709994   0.11016464   0.11741169 
   13000   -941.44452    48.768886   -892.67564    1746.7246   -5890.3894    2.1518528   0.45286334   0.12986561 
   13100   -945.47821    43.325913    -902.1523    1551.7771    7504.6021    2.1948893   0.47411579    0.1211956 
   13200   -948.20198    44.708143   -903.49384    1601.2835    1499.5862     2.186263   0.36197189   0.11842687 
   13300   -947.69757    45.703052   -901.99451    1636.9176   -6055.3531    2.1652819   0.32715017   0.12677302 
   13400   -943.54301    50.846433   -892.69658    1821.1348   -4247.2581    2.1542744  0.039288128   0.12072118 
   13500   -947.82217    45.465883   -902.35629     1628.423    8861.5201    2.2023466  0.063065313   0.10880074 
   13600   -949.90284    46.345716   -903.55713    1659.9355   -5.5321403     2.182867  0.092521832   0.12363512 
   13700   -947.85551     45.99273   -901.86278    1647.2928     -9227.51    2.1573584  0.065056691    0.1129157 
   13800   -945.11297    52.642946   -892.47002    1885.4794   -1976.3379    2.1637004   0.16912553   0.11878696 
   13900   -945.33204    44.569129   -900.76291    1596.3046    11873.404    2.2060182    0.2551753   0.13721589 
   14000   -944.21496    40.772519   -903.44244    1460.3238    -2351.889    2.1704035   0.43382861   0.11175909 
   14100   -950.53055    47.460638   -903.06991    1699.8679   -8245.8548    2.1601813   0.20348911   0.11180783 
   14200   -948.73131     51.12558   -897.60573    1831.1329    2738.4386    2.1861493    0.2152588   0.12743081 
   14300   -945.04634    49.030791   -896.01555    1756.1051    1452.0378    2.1793364   0.16536811   0.13678901 
   14400    -946.8651     44.00043   -902.86467    1575.9358   -3223.7011    2.1723873  0.034535525   0.14386831 
   14500   -948.52059    44.782517   -903.73808    1603.9473   -1799.2035    2.1772275   0.36110626   0.11888808 
   14600   -946.48927    46.752465   -899.73681    1674.5038    4342.6229    2.1867473   0.03308353   0.11203625 
   14700   -944.71894    48.928955   -895.78999    1752.4577   -2699.2194    2.1665823  0.098192554     0.122462 
   14800   -946.16219    42.806248   -903.35594    1533.1646   -2819.6848    2.1715805   0.13879112   0.13294336 
   14900   -948.93385    45.307672   -903.62618    1622.7565   -811.73842    2.1829505   0.45458346   0.12831385 
   15000   -944.28745    46.459588   -897.82786    1664.0139    3917.4323    2.1799713   0.37924481   0.13410468 
   15100   -946.88013    49.707991   -897.17214      1780.36   -5810.5424    2.1592035   0.28224104   0.12061248 
   15200   -950.05106    45.896344   -904.15472    1643.8406   -6724.9943    2.1683348  0.075644609   0.12298271 
   15300   -951.01788    48.482689   -902.53519    1736.4741    3957.0723    2.1939522   0.05576269   0.12544929 
   15400   -944.98856    49.085349   -895.90321    1758.0592    6467.8645    2.1868492   0.18602618   0.12927799 
   15500   -945.45929    46.251659   -899.20763    1656.5667   -10787.012    2.1458682   0.11293904   0.11528472 
   15600    -946.5982    41.847016   -904.75118    1498.8083   -8927.8508    2.1517063   0.55699294   0.12504041 
   15700   -947.49066    47.007538   -900.48312    1683.6395    12919.952    2.2122874   0.20194563   0.12803944 
   15800   -946.58559    42.257189    -904.3284    1513.4993    9105.5314    2.1967829   0.22704424   0.11494649 
   15900   -950.48828    40.095528   -910.39276    1436.0764   -8906.7456    2.1656018   0.63669963   0.13472096 
   16000   -949.75636    46.090664    -903.6657    1650.8004   -4671.8807    2.1694577   0.17581863    0.1111402 
   16100   -946.93952    46.030343   -900.90917      1648.64    6720.4769    2.1940352   0.30811877    0.1109517 
   16200   -948.29789    40.471588    -907.8263    1449.5455      3194.03    2.1913949 0.0035033345   0.12106381 
   16300   -951.28018    43.622054   -907.65812    1562.3838   -7505.5969    2.1711998  0.047335752   0.10967813 
   16400   -946.55821    44.855027   -901.70319    1606.5444    1477.9991    2.1804658   0.16328263   0.12256262 
   16500   -948.41987      45.6053   -902.81457    1633.4165    4024.7961    2.1947981   0.25528136   0.13767834 
   16600   -952.52624    42.009364   -910.51688    1504.6231   -916.42931    2.1928268   0.39798684   0.10288913 
   16700   -946.59533    43.430052   -903.16528    1555.5069   -5185.6265     2.167656     0.171729   0.12154674 
   16800   -947.51285    45.962799   -901.55005    1646.2208    2734.0651    2.1898451     0.183934    0.1148035 
   16900   -949.49357    45.294487   -904.19908    1622.2843    3588.1486    2.1963502   0.12458285    0.1220608 
   17000   -950.74487    40.108147   -910.63672    1436.5284    -5260.356     2.180968   0.22651071   0.14705242 
   17100   -949.16469    41.610508   -907.55418    1490.3375   -5153.9169    2.1759782   0.12644623   0.13274093 
   17200   -947.14163    44.666295   -902.47533    1599.7847    12117.603    2.2129261   0.18787853   0.12219629 
   17300   -946.65199    44.576007   -902.07598    1596.5509    4102.3823    2.1898777  0.083644047   0.11900779 
   17400   -943.20122    38.800044   -904.40118    1389.6769   -13171.824    2.1399576   0.68866256   0.14233433 
   17500   -951.87735    42.480313   -909.39704    1521.4908   -2037.1565    2.1839505    1.8495531   0.14034029 
   17600   -947.26173    47.501591   -899.76014    1701.3347     15454.18    2.2153957   0.47484206   0.12897379 
   17700   -950.03202    49.736777   -900.29524     1781.391   -1336.4045    2.1803334    1.2275708   0.13698777 
   17800   -946.02428    43.977047   -902.04724    1575.0983   -10750.488    2.1532332    7.2475677    0.1455457 
   17900   -944.93656    40.703646   -904.23291     1457.857    100.27902    2.1784975    5.8258397   0.15088126 
   18000   -954.33054    42.604462   -911.72608    1525.9373    4793.7952    2.2090892     5.944049   0.13901857 
   18100   -948.93892    41.641183   -907.29773    1491.4361    654.48614    2.1879571    7.7361398   0.14767096 
   18200   -948.18929    44.882739   -903.30655     1607.537   -4371.9977    2.1731968    7.3417783   0.13524285 
   18300   -943.09542    41.503849   -901.59157    1486.5174   -93.237741    2.1756156    4.3056364   0.15076042 
   18400   -944.05708    44.165555   -899.89152      1581.85    4060.3516    2.1834169    7.1302373   0.13928666 
   18500   -939.41192    50.330659   -889.08127    1802.6617    2593.8425    2.1648397    7.7937945   0.14962014 
   18600    -946.2532    49.701903   -896.55129    1780.1419   -1797.7559    2.1720806    4.7167813   0.14781404 
   18700   -946.41094    45.862299   -900.54864    1642.6212   -6293.2753     2.157877    5.1798897   0.14146849 
   18800   -947.40832    44.466858   -902.94146    1592.6416    1953.5907    2.1821475    7.3365167   0.14929476 
   18900   -946.44157    43.319142   -903.12242    1551.5346    11450.295    2.2083477    7.6090033   0.12726315 
   19000   -941.19493    49.200176   -891.99475    1762.1719    -3546.278    2.1532047    6.1569089   0.15232593 
   19100   -942.67056    44.496363    -898.1742    1593.6984   -8011.2277    2.1482831    4.4443622   0.14578575 
   19200   -948.52888    46.737734   -901.79114    1673.9762    3398.7937    2.1888693    7.5354359   0.13871877 
   19300   -947.51174    44.765729   -902.74601    1603.3461    8300.7172    2.1996678    4.7515007   0.14216295 
   19400   -942.18393    48.543414   -893.64052     1738.649   -5763.3434    2.1477548    5.1633144   0.13368361 
   19500   -943.50311    43.733712    -899.7694     1566.383   -3753.9547    2.1553612    11.063384   0.12875076 
   19600   -944.97058    42.319096   -902.65149    1515.7165    7888.4126     2.191678    5.2493792   0.13184243 
   19700   -948.86415    47.618572   -901.24558    1705.5245    7073.0059    2.1961253    4.4277547   0.12968339 
   19800   -940.46526    47.165967   -893.29929    1689.3139   -10775.396     2.135592    5.5995152   0.14582843 
   19900   -946.58131    46.208421   -900.37289    1655.0181   -9548.0765    2.1497086    3.8591748    0.1363031 
   20000   -950.40138    48.597836   -901.80355    1740.5982    6932.6358    2.2005826    4.9129386   0.14419135 
   20100   -946.02038    44.783786   -901.23659    1603.9928    9334.3085    2.2005184    7.5658948   0.15757391 
   20200   -947.14057    43.229972    -903.9106    1548.3408   -12020.953    2.1430127    4.3769009   0.14587422 
   20300   -951.09546    40.152767   -910.94269    1438.1265   -7971.1645    2.1700094    6.7535082    0.1407027 
   20400   -947.59898    45.341368   -902.25762    1623.9634    9888.4002    2.2036727    6.0997035   0.14992677 
   20500   -947.72046    46.342703   -901.37775    1659.8276    1769.6965    2.1819924    5.3757813   0.14200017 
   20600   -948.28168    44.467463   -903.81421    1592.6633   -5784.9574    2.1633192    5.4800989   0.14344409 
   20700   -951.04596    41.775781   -909.27018     1496.257      1124.71    2.1905211    5.5272319   0.12694481 
   20800   -945.02599    44.887819   -900.13818    1607.7189    1514.1464    2.1801077    8.7331532   0.15347087 
   20900   -947.31574    45.874964   -901.44077    1643.0749   -2350.9366    2.1726508      6.99047   0.16492365 
   21000   -948.15707    40.143683   -908.01339    1437.8011   -2882.4299    2.1779761    6.4883808   0.15229513 
   21100   -946.59326     44.99205   -901.60121    1611.4521   -3082.5109    2.1754024    5.5459187   0.15457201 
   21200   -947.35681    48.019511    -899.3373    1719.8847    2518.1561    2.1829478    4.1196142    0.1360248 
   21300   -949.68208    45.339215   -904.34287    1623.8862   -1220.0643    2.1784191     5.207704   0.13719302 
   21400   -945.13833    41.837301   -903.30103    1498.4604    -763.4757     2.170621    7.0584562   0.14681669 
   21500   -945.13047    49.224737   -895.90573    1763.0516   -3682.9631    2.1649004     5.941188   0.15545296 
   21600   -948.86279    46.847485    -902.0153     1677.907    4081.6416    2.1888861    9.2051598   0.13638643 
   21700   -947.92434     44.77259   -903.15175    1603.5918    1865.3903    2.1836795    7.3865517   0.14986649 
   21800   -942.05907    48.422979   -893.63609    1734.3355   -7862.6866    2.1472752    5.2683458    0.1505741 
   21900    -944.0594    46.100376   -897.95903    1651.1483   -931.74238    2.1693819    5.5808322   0.15336825 
   22000   -949.01863    47.393204   -901.62543    1697.4527    8624.7082    2.2000804    4.4718728   0.13732841 
   22100   -948.57797    46.083998   -902.49398    1650.5617    782.52477    2.1827162    4.3894272    0.1397226 
   22200   -940.35489    45.290773   -895.06412    1622.1512   -9779.3152    2.1375237    5.5982671     0.151091 
   22300   -941.70953    46.043687   -895.66585    1649.1179    670.29456    2.1647315    4.2376311   0.14707953 
   22400   -946.39659    45.894768   -900.50183    1643.7842    9745.4066    2.2005154     5.638889   0.15226222 
   22500   -945.54603    43.241201   -902.30482     1548.743    2082.7887    2.1791707    7.2926999   0.15297015 
   22600   -950.49305    45.664256   -904.82879    1635.5281   -13469.463    2.1516842    5.6750366    0.1427244 
   22700   -948.41545    37.746485   -910.66897    1351.9422    4530.8728    2.1943888    7.2014692   0.14165727 
