LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00110788 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1600   -951.04357            0   -906.37126   -115280.58    5330.9442 
    3200    1641.3839   -946.97127            0   -901.14351    8529.3986    4590.2931 
Loop time of 2.29485 on 1 procs for 3200 steps with 217 atoms

Performance: 361.436 ns/day, 0.066 hours/ns, 1394.429 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.209      | 2.209      | 2.209      |   0.0 | 96.26
Neigh   | 0.036757   | 0.036757   | 0.036757   |   0.0 |  1.60
Comm    | 0.014479   | 0.014479   | 0.014479   |   0.0 |  0.63
Output  | 2.771e-05  | 2.771e-05  | 2.771e-05  |   0.0 |  0.00
Modify  | 0.029596   | 0.029596   | 0.029596   |   0.0 |  1.29
Other   |            | 0.004992   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4223 ave 4223 max 4223 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8446 ave 8446 max 8446 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8446
Ave neighs/atom = 38.9217
Neighbor list builds = 62
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -946.97127    45.827752   -901.14351    1641.3839    8529.3986    2.1970946            0 7.890963e-32 
    3300   -948.45644     44.32492   -904.13152    1587.5579    9704.8574    2.2060628   0.01993884  0.097810703 
    3400   -952.71217     41.08324   -911.62893    1471.4527    -8448.334    2.1701877  0.048319625  0.088638756 
    3500   -948.04003    44.795805   -903.24423    1604.4233   -11771.433    2.1509612  0.079721544   0.11286822 
    3600   -950.91996    49.595606   -901.32435    1776.3347     5806.775    2.2009318  0.047276683   0.12102422 
    3700   -952.31269    46.060323   -906.25237    1649.7137    8016.4354    2.2082878  0.014857937  0.085619171 
    3800   -952.22125    40.719806   -911.50144    1458.4358    -8936.409    2.1665544  0.047495344  0.092202519 
    3900   -945.62412    43.751728   -901.87239    1567.0282    -10385.42    2.1465842  0.028977329  0.099891607 
    4000   -948.51401    46.547377   -901.96663    1667.1582    10198.211    2.2073464  0.058593421   0.10703789 
    4100   -949.53805    45.304859    -904.2332    1622.6558    11489.397    2.2094311  0.083079864  0.081090696 
    4200   -945.55352    50.291309   -895.26221    1801.2523    -12535.52    2.1418022   0.14074869   0.10674585 
    4300   -942.11013    43.117098   -898.99304    1544.2981   -5507.6682    2.1543045   0.31907086   0.10062524 
    4400    -948.3112    45.371934   -902.93927    1625.0581    9065.7432     2.202731   0.10442464   0.11478436 
    4500   -951.33385    47.493934   -903.83992    1701.0605    4230.8226    2.1963521  0.097935998   0.10420912 
    4600   -941.76784    47.231856   -894.53598    1691.6738   -8320.0976    2.1383588  0.035614759   0.12245615 
    4700   -945.97152    43.712477   -902.25904    1565.6224   -2357.5817    2.1686311  0.014829814   0.11724278 
    4800   -950.09098    46.679008   -903.41198    1671.8728    6445.5522    2.1989299   0.10522043   0.10302086 
    4900    -949.5345    47.880353   -901.65415    1714.9006     2597.711    2.1874626  0.034401457  0.098013377 
    5000   -942.37211    48.057241   -894.31487    1721.2361   -7879.7108    2.1456698  0.045538954    0.1223885 
    5100   -946.66576    43.279836   -903.38592    1550.1268    -2.328404    2.1764925   0.10909183  0.096623181 
    5200   -952.98065    49.317847   -903.66281    1766.3864    1286.8315    2.1884667   0.40707611  0.089974561 
    5300   -949.55407    47.426419   -902.12765    1698.6423    502.28012    2.1796167   0.19745838   0.11145331 
    5400   -946.60636    47.947195   -898.65917    1717.2946    -4042.101    2.1634415  0.089465609   0.10438928 
    5500   -942.95514    53.599005   -889.35614     1919.722   -5355.5874    2.1513365  0.051100737   0.13779145 
    5600   -947.91695    47.735785   -900.18116    1709.7227    9233.1958    2.2012919  0.083258236   0.11325331 
    5700   -947.90981    45.545094   -902.36472    1631.2601    261.36163    2.1802507   0.11353539   0.12316327 
    5800   -946.06394    41.591842    -904.4721     1489.669     -7926.77    2.1597566   0.13077273   0.10779783 
