LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00112311 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1700   -951.04357            0   -903.57924   -114721.17    5330.9442 
    3200    1608.2066   -943.14493            0    -898.2435   -11617.845    4713.3018 
Loop time of 2.28781 on 1 procs for 3200 steps with 217 atoms

Performance: 362.547 ns/day, 0.066 hours/ns, 1398.716 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1922     | 2.1922     | 2.1922     |   0.0 | 95.82
Neigh   | 0.045671   | 0.045671   | 0.045671   |   0.0 |  2.00
Comm    | 0.015107   | 0.015107   | 0.015107   |   0.0 |  0.66
Output  | 2.505e-05  | 2.505e-05  | 2.505e-05  |   0.0 |  0.00
Modify  | 0.029626   | 0.029626   | 0.029626   |   0.0 |  1.29
Other   |            | 0.005138   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4103 ave 4103 max 4103 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8206 ave 8206 max 8206 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8206
Ave neighs/atom = 37.8157
Neighbor list builds = 77
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.664 | 9.664 | 9.664 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -943.14493    44.901435    -898.2435    1608.2066   -11617.845    2.1397544            0 6.395514e-32 
    3300   -940.99777     48.00475   -892.99302    1719.3561    1707.1187    2.1698827  0.025058988    0.1370469 
    3400   -949.37416    50.788377   -898.58578    1819.0555    7054.9755    2.2004878   0.15140722    0.1102194 
    3500   -946.55786    44.762745   -901.79512    1603.2392   -6555.9245    2.1619915  0.059522991   0.11896907 
    3600   -943.70885    47.198621   -896.51023    1690.4834   -5553.1628    2.1571914  0.061671096   0.15574727 
    3700   -942.56379    49.112577   -893.45122    1759.0344    7573.0179     2.185751  0.087707836   0.11209089 
    3800   -949.07264    46.035883   -903.03675    1648.8384    248.77571    2.1873488   0.11053265  0.095605184 
    3900   -944.02473     46.03843    -897.9863    1648.9296   -10998.451    2.1447544  0.038824858   0.13019604 
    4000   -945.76199    51.214912   -894.54707    1834.3324    -1763.987    2.1698568  0.036956899   0.11003616 
    4100   -948.07162    49.309365   -898.76226    1766.0826    6530.7817    2.1941128   0.28355897   0.10697963 
    4200   -948.39722    44.068614    -904.3286    1578.3779   -4046.9437    2.1681584  0.033033055   0.10905933 
    4300   -942.79658    48.853557   -893.94302    1749.7573   -9000.6902    2.1403139   0.15737477   0.10468556 
    4400   -944.85544    49.324888   -895.53056    1766.6386    9109.2881    2.1923971   0.07100498   0.13195168 
    4500   -946.59341    46.475453   -900.11795    1664.5822     5963.373    2.1932415  0.020180203   0.13722832 
    4600    -939.8966    49.574243   -890.32236    1775.5696   -10433.416    2.1327778  0.098788494   0.13297474 
    4700   -940.74779    46.836722   -893.91106    1677.5215    360.80678     2.162508   0.24151814   0.13333884 
    4800   -943.56303    46.008384   -897.55465    1647.8535     9996.397    2.1929199  0.029153483   0.12294702 
    4900   -943.72514     46.77641   -896.94873    1675.3614    361.36508    2.1696627  0.017407353    0.1265426 
    5000   -938.84105    49.971278   -888.86977      1789.79   -10685.734    2.1303269  0.076521872    0.1457862 
    5100   -947.87312    49.150193   -898.72293    1760.3817    4719.9221    2.1859761  0.023961534   0.12439375 
    5200   -944.78111    47.569663   -897.21145    1703.7728    6870.4622    2.1880864  0.055434962   0.12794882 
    5300   -940.95267    48.798853   -892.15382    1747.7979   -8167.3394    2.1456062   0.33418927   0.13084564 
    5400   -943.34634    48.937622   -894.40872    1752.7682   -5109.8219    2.1579456  0.014071815   0.12476947 
    5500   -950.31568    50.741816   -899.57387    1817.3878    7251.2367    2.1986774  0.097692545    0.1357971 
    5600   -944.56314    49.209409   -895.35373    1762.5026    684.87406    2.1784695  0.079522671   0.14598227 
    5700    -941.9065    46.605786   -895.30072    1669.2502   -8786.5217    2.1456598   0.18794846   0.14859806 
    5800   -949.94797     45.38581   -904.56216    1625.5551    4171.3215    2.1910112   0.13416413   0.11556984 
