LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.0010033 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1700   -951.04357            0   -903.57924   -114721.17    5330.9442 
    3200    1800.9554    -945.5665            0   -895.28348   -10413.918    4704.0144 
Loop time of 2.28814 on 1 procs for 3200 steps with 217 atoms

Performance: 362.495 ns/day, 0.066 hours/ns, 1398.516 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1881     | 2.1881     | 2.1881     |   0.0 | 95.63
Neigh   | 0.050815   | 0.050815   | 0.050815   |   0.0 |  2.22
Comm    | 0.014983   | 0.014983   | 0.014983   |   0.0 |  0.65
Output  | 2.5363e-05 | 2.5363e-05 | 2.5363e-05 |   0.0 |  0.00
Modify  | 0.029406   | 0.029406   | 0.029406   |   0.0 |  1.29
Other   |            | 0.004824   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    953 ave 953 max 953 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4155 ave 4155 max 4155 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8310 ave 8310 max 8310 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8310
Ave neighs/atom = 38.2949
Neighbor list builds = 86
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.662 | 9.662 | 9.662 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -945.5665     50.28302   -895.28348    1800.9554   -10413.918     2.143979            0 2.1356423e-32 
    3300   -947.47855    48.404839   -899.07371    1733.6858    6365.3019    2.1925539   0.56593392   0.10226676 
    3400   -948.39966    45.396973   -903.00269    1625.9549    8343.7209    2.2035152   0.16581963   0.10865097 
    3500   -942.58378     49.27159   -893.31219    1764.7297   -12843.651     2.135037  0.038176915   0.12192677 
    3600   -947.93753    50.836278   -897.10125    1820.7711    -5343.318    2.1621127   0.54326432   0.11924074 
    3700   -944.69789    45.776831   -898.92106    1639.5601    12247.724    2.2044087   0.47388937   0.11188506 
    3800   -935.83487    47.137603   -888.69727     1688.298   -736.67123    2.1519227  0.035412795   0.12284643 
    3900   -941.19358    45.832028   -895.36155     1641.537   -7161.0092    2.1483923   0.38340968   0.13464257 
    4000   -945.42519    47.091452   -898.33373     1686.645    3636.0439    2.1855172     0.299769   0.12529393 
    4100   -942.89299    48.487401   -894.40559    1736.6429    8311.0111    2.1880912  0.062385459   0.10427413 
    4200   -942.49249    51.442652   -891.04984    1842.4892   -11249.709    2.1392079   0.46336326  0.089840189 
    4300   -942.10974    41.888481   -900.22126    1500.2935   -1936.8813    2.1660979   0.12567617   0.10234526 
    4400   -945.27113    49.942957   -895.32818    1788.7756    11676.108    2.1967875   0.34141594   0.11972362 
    4500   -944.15015    50.907058    -893.2431    1823.3062   -489.66524    2.1651728   0.07703385   0.12342034 
    4600   -948.92083    45.923841   -902.99699    1644.8255   -7908.6468    2.1619159   0.12106451   0.12871695 
    4700   -945.42512     46.23691   -899.18821    1656.0384    667.71168     2.178563     0.201439   0.12468384 
    4800   -938.05646    44.616694   -893.43977    1598.0082    10807.155    2.1870181   0.61484373   0.12274698 
    4900   -947.35562    48.385024   -898.97059    1732.9761   -4495.8825    2.1638624   0.16115886   0.11818113 
    5000   -946.93288    43.909572   -903.02331    1572.6816   -5669.5639    2.1662141   0.14610406   0.13859923 
    5100   -940.97966    46.735572   -894.24409    1673.8987    2862.4803    2.1774998    0.1531156    0.1426718 
    5200   -941.89738    45.726554   -896.17083    1637.7593    6642.1161    2.1792327  0.028688087   0.11476924 
    5300   -945.09475    41.961742   -903.13301    1502.9174   -1518.3049    2.1694609  0.080734704   0.11629896 
    5400   -942.76741    48.184856   -894.58255    1725.8068   -1193.5454    2.1600217   0.39472051   0.10945061 
    5500   -944.26387    50.214382   -894.04949    1798.4971    7584.8617    2.1871304   0.14901386   0.13285635 
    5600   -946.37978    46.370391   -900.00939    1660.8192   -3288.6156    2.1690127   0.28065589   0.15243528 
    5700   -940.67571    47.363003   -893.31271     1696.371    -4115.805    2.1508467  0.072463181   0.13394412 
    5800   -943.45136    51.719667   -891.73169    1852.4109    2815.9237    2.1720613   0.10441648   0.12941185 
    5900   -946.20568     47.92979   -898.27589    1716.6713    2119.8921    2.1794681  0.091975014   0.12935641 
    6000   -943.24817    46.722569    -896.5256     1673.433     -4219.84     2.156897   0.21742008   0.12787886 
    6100   -941.03851    51.819864   -889.21865    1855.9996   -6076.6611    2.1469344  0.013761642   0.13937143 
    6200   -942.18818    43.415405   -898.77278    1554.9824    9272.9134    2.1933326  0.078993657   0.13100152 
    6300   -942.05113    44.833377   -897.21775     1605.769    1684.6267    2.1699212  0.088192146    0.1132759 
    6400   -942.67799    50.377931   -892.30006    1804.3548   -10396.812    2.1354042   0.43886931   0.11777431 
    6500   -947.68284    45.446506   -902.23634     1627.729    4195.5393    2.1874285   0.19255119   0.12776507 
    6600   -941.65891    42.735692   -898.92321    1530.6375    10730.249    2.1886522    0.5052791    0.1487979 
    6700   -943.38318    48.697628   -894.68555    1744.1724   -6640.3749     2.147911   0.12734269   0.13268691 
    6800   -942.42969    47.214409   -895.21528    1691.0489   -6468.4816    2.1472669   0.60295331   0.12100043 
    6900   -953.44148    51.341323   -902.10015      1838.86    10897.562    2.2142377   0.20760994   0.11145958 
    7000   -944.69945    51.151313   -893.54814    1832.0545    2481.2979    2.1733383   0.38677347    0.1099884 
    7100   -941.87841    45.776635   -896.10178    1639.5531   -15464.862    2.1296151   0.35223402   0.13357773 
    7200   -944.81908    44.387339   -900.43174    1589.7935     1038.711    2.1792194    0.2351049   0.13461161 
    7300   -947.07074    46.025032   -901.04571    1648.4497    12024.815    2.2115743   0.12883184   0.12471766 
    7400   -940.94657    47.951321   -892.99525    1717.4424   -6194.1705    2.1488845   0.10973542   0.12568507 
    7500   -945.57218    47.272186   -898.29999    1693.1183   -6244.7594    2.1586046   0.18553216   0.12513862 
    7600   -944.06377    45.663175    -898.4006    1635.4893    5865.7279     2.187342   0.17575108    0.1383775 
    7700   -940.58047    51.719192   -888.86128    1852.3939    152.91505    2.1572505   0.97452595   0.14819341 
    7800   -947.06158    50.623191   -896.43839    1813.1391   -4062.7491    2.1617663    4.3039151   0.15270472 
    7900   -945.48813    48.372461   -897.11567    1732.5261     512.3398    2.1763873    12.478294   0.15428766 
    8000   -939.30598    51.380293   -887.92569    1840.2557    2178.3406     2.161509     18.30232   0.11756904 
    8100   -945.27249    48.735224   -896.53727     1745.519    -1662.749    2.1683583    17.684643   0.11160839 
    8200   -945.88477     47.52857    -898.3562     1702.301   -4426.3198    2.1625008     17.72921   0.11393338 
