LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000998554 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1700   -951.04357            0   -903.57924   -114721.17    5330.9442 
    3200    1581.9919   -943.80807            0   -899.63855   -10221.282     4696.294 
Loop time of 2.27665 on 1 procs for 3200 steps with 217 atoms

Performance: 364.325 ns/day, 0.066 hours/ns, 1405.576 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1774     | 2.1774     | 2.1774     |   0.0 | 95.64
Neigh   | 0.050094   | 0.050094   | 0.050094   |   0.0 |  2.20
Comm    | 0.014881   | 0.014881   | 0.014881   |   0.0 |  0.65
Output  | 2.5106e-05 | 2.5106e-05 | 2.5106e-05 |   0.0 |  0.00
Modify  | 0.029328   | 0.029328   | 0.029328   |   0.0 |  1.29
Other   |            | 0.004901   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4139 ave 4139 max 4139 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8278 ave 8278 max 8278 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8278
Ave neighs/atom = 38.1475
Neighbor list builds = 85
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.659 | 9.659 | 9.659 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -943.80807    44.169516   -899.63855    1581.9919   -10221.282    2.1475035            0 5.3202031e-32 
    3300   -943.82908    49.436095   -894.39298    1770.6216    904.28773    2.1723449   0.36860194   0.13841848 
    3400   -942.37815    53.379162   -888.99899     1911.848     9037.852    2.1857021   0.24579509   0.12803509 
    3500   -946.07749    48.121393    -897.9561    1723.5338   -6969.2939    2.1622459  0.043281217   0.13933567 
    3600   -942.76487    45.548622   -897.21625    1631.3865   -4993.3233    2.1521083  0.098109012   0.17204631 
    3700   -941.62911    52.624722   -889.00439    1884.8267    7605.1604    2.1793793  0.035282065   0.12140668 
    3800   -947.74737    50.688127   -897.05924    1815.4649    1812.8886    2.1820649   0.13497775   0.11095725 
    3900   -942.10745    42.799399   -899.30805    1532.9193   -10353.768     2.143478   0.32965652   0.14614901 
    4000   -941.40248    47.793305   -893.60917    1711.7829    617.03146     2.165241    0.0200599   0.12804072 
    4100   -945.89792    47.426433   -898.47148    1698.6428      10855.5     2.201171   0.15618484    0.1353295 
    4200   -945.48812    43.288704   -902.19941    1550.4444   -4420.8411    2.1660521  0.098991682   0.12766462 
    4300   -940.18832    44.131912   -896.05641    1580.6451   -7388.4981    2.1452396  0.050902104   0.14672393 
    4400   -939.77994    45.297806   -894.48213    1622.4031    7019.6634    2.1774195   0.13037764   0.16279413 
    4500   -945.72801    42.560103   -903.16791    1524.3485    7857.9436    2.1955438  0.078148455   0.14671972 
    4600   -943.01268    47.651636   -895.36105    1706.7088   -10022.867    2.1425477   0.18632834   0.12779094 
    4700   -943.41409    48.681659   -894.73243    1743.6005   -1725.2509    2.1617451   0.41658632   0.12628654 
    4800   -945.38283    46.640155   -898.74267    1670.4812    8745.4238    2.1967388   0.17862878   0.13769257 
    4900   -948.46267    45.244189   -903.21848    1620.4828    -2116.762    2.1778966  0.055425834   0.12160543 
    5000   -940.20823    47.829905   -892.37832    1713.0938   -11688.708    2.1335587   0.14256988   0.16624336 
    5100   -942.34749    47.196724   -895.15077    1690.4155    5191.6256    2.1849494  0.057796897   0.14889086 
    5200   -947.05815    48.345571   -898.71258     1731.563    4525.4509    2.1865258  0.074320983   0.13837033 
    5300   -941.12041    50.419029   -890.70138    1805.8268   -6683.1344    2.1409771  0.084226142   0.14561416 
    5400   -940.48159     48.23164   -892.24995    1727.4824   -2950.5974    2.1572021   0.44423038    0.1462664 
    5500   -945.67623    48.806195   -896.87003    1748.0609    6182.2161    2.1878509    0.2557492   0.13939684 
    5600    -945.2217    46.282884   -898.93882     1657.685    342.61076     2.174531  0.057929675   0.12784474 
    5700   -939.62697    51.874934   -887.75204     1857.972      -6940.8    2.1379993   0.23207331   0.11336191 
    5800   -942.66183    48.446944   -894.21488    1735.1939    6535.3342     2.183001  0.089565626   0.13215772 
