LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00100553 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1800   -951.04357            0   -900.78722   -114161.75    5330.9442 
    3200    1890.0295   -940.22881            0   -887.45882    495.74297    4667.1797 
Loop time of 2.25774 on 1 procs for 3200 steps with 217 atoms

Performance: 367.375 ns/day, 0.065 hours/ns, 1417.344 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.156      | 2.156      | 2.156      |   0.0 | 95.49
Neigh   | 0.052795   | 0.052795   | 0.052795   |   0.0 |  2.34
Comm    | 0.014814   | 0.014814   | 0.014814   |   0.0 |  0.66
Output  | 2.5998e-05 | 2.5998e-05 | 2.5998e-05 |   0.0 |  0.00
Modify  | 0.029121   | 0.029121   | 0.029121   |   0.0 |  1.29
Other   |            | 0.004983   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    952 ave 952 max 952 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4118 ave 4118 max 4118 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8236 ave 8236 max 8236 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8236
Ave neighs/atom = 37.9539
Neighbor list builds = 90
Dangerous builds = 5
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.662 | 9.662 | 9.662 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -940.22881    52.769987   -887.45882    1890.0295    495.74297    2.1608999            0 2.5853826e-32 
    3300   -940.52306    49.628359    -890.8947    1777.5078   -14046.687    2.1261289   0.13739299   0.14049191 
    3400   -940.01192    47.357071   -892.65485    1696.1586    7721.4064    2.1781165    1.3657185   0.12915698 
    3500   -936.89692    55.360602   -881.53631     1982.816    6154.8446    2.1622399    2.0857515   0.15931862 
    3600   -939.82037    53.803133   -886.01724    1927.0331   -6342.8762    2.1394971    6.6357433   0.15521374 
    3700   -945.57708     54.88482   -890.69226    1965.7752   -5096.3517    2.1589053    3.2629645   0.15986945 
    3800   -940.94957    49.470235   -891.47934    1771.8444    8254.1764    2.1815904    5.7459266   0.17701288 
    3900   -933.95664    53.718346   -880.23829    1923.9963   -9930.8371    2.1205894    6.3025201   0.19378476 
    4000   -939.48267    50.392474    -889.0902    1804.8757    123.66629    2.1603568    3.5685628   0.19506116 
    4100    -941.1486    51.128202    -890.0204    1831.2268    6106.0432    2.1745331    2.9509435   0.17813795 
    4200   -935.62733    48.080222   -887.54711    1722.0592    -2295.152    2.1428453    3.8880056   0.19739182 
    4300   -932.31525    52.387487   -879.92776    1876.3298   -4124.9205    2.1270827     4.447462   0.17803141 
    4400    -939.9636    50.119363   -889.84423    1795.0938      12395.2    2.1934402    3.0809356   0.18412859 
    4500   -940.02695     49.57923   -890.44772    1775.7482   -4144.4051     2.149546    5.0420036   0.19450182 
    4600   -938.19191    53.113099   -885.07881    1902.3186   -11070.686    2.1253849     4.293608   0.18205823 
    4700   -944.74893    50.149412   -894.59952    1796.1701    8030.2232    2.1923337    3.3664886   0.17219255 
    4800   -939.76115    47.701622   -892.05953    1708.4991    2552.0475     2.166601     4.355627    0.1803884 
    4900   -939.12821    51.709165   -887.41904    1852.0348   -9450.5817    2.1337906    8.4690535    0.1541334 
    5000   -939.39438    51.141463   -888.25291    1831.7017    4911.8129    2.1680624    18.587017   0.15370778 
    5100   -941.94953    46.942154   -895.00737    1681.2977    7318.6575    2.1852439    19.784606   0.15655184 
    5200   -935.16281    46.844125   -888.31868    1677.7867   -3463.2888    2.1408461    19.419282   0.16311583 
    5300   -937.31993    49.721652   -887.59828    1780.8493   -386.00305    2.1530078    21.985964   0.15815395 
    5400   -943.78131    48.334062   -895.44725    1731.1508    6839.0303    2.1894661    18.390479   0.14780412 
    5500   -939.01248    52.026119   -886.98636    1863.3869   -4034.7596    2.1455986    18.076829    0.1517278 
    5600    -939.1409    51.120987   -888.01991    1830.9684   -4920.7649    2.1456422    15.457372   0.16324448 
    5700   -941.73613    48.128883   -893.60725    1723.8021    8434.4574    2.1835066    17.245653   0.15084087 
    5800    -939.3543    50.950336   -888.40396    1824.8563    2670.9259    2.1661501    18.848854   0.15262881 
    5900   -939.64334    54.285155   -885.35819    1944.2974   -9643.3727    2.1286374    42.014574   0.15448586 
    6000     -941.237    48.968001     -892.269    1753.8562    2980.7715    2.1732302    53.831221   0.15953424 
    6100   -940.68481     50.74736   -889.93745    1817.5864    8561.1211    2.1805724    52.158738   0.16597049 
    6200   -937.25087    52.745708   -884.50517      1889.16   -9855.9544    2.1282938    51.687865   0.17472556 
    6300   -941.45023    48.112913   -893.33732    1723.2301   -4374.4467    2.1545641    33.239636   0.18379037 
    6400   -943.33121    52.581049   -890.75017    1883.2625    7267.3462    2.1842839    29.379559   0.17561548 
    6500   -935.33098    51.625292   -883.70568    1849.0308    98.093492    2.1497385    33.791507   0.19266612 
    6600   -936.82022     45.80683   -891.01339    1640.6345   -9781.4089    2.1333489    33.655698    0.1817517 
    6700   -939.67046    48.063461     -891.607    1721.4589    8712.3921    2.1828174    28.964358   0.18520693 
    6800   -933.87372    50.913995   -882.95972    1823.5547    12071.911    2.1774497     38.55552   0.18346183 
    6900   -934.99935    46.955979   -888.04337    1681.7929   -14466.567    2.1121896    22.881295   0.19222245 
    7000   -945.23912     51.53071   -893.70841    1845.6431   -4499.4246    2.1563369    21.874471   0.15987819 
    7100   -936.72333    50.439599   -886.28373    1806.5635    18142.098    2.1970245    46.072749   0.18675992 
    7200   -941.23055    54.958867   -886.27169    1968.4273   -9167.3153    2.1390757    60.346121   0.16368806 
    7300   -943.74169    49.044814   -894.69688    1756.6074    -6381.696    2.1485932    44.083765   0.16486132 
    7400   -939.67892    51.126797   -888.55213    1831.1764     4691.701    2.1735897     57.96007    0.1836372 
    7500   -943.06634    57.401226   -885.66512    2055.9038   -4546.6022    2.1482379    50.808688    0.1612753 
    7600   -942.69379    47.512112   -895.18168    1701.7115   -2767.7668    2.1554298    61.253642   0.14851423 
    7700    -938.3464    46.976588   -891.36981     1682.531    3659.6528    2.1644615      67.4625   0.14434463 
    7800   -938.20152    52.968294   -885.23323    1897.1322    1539.8506    2.1585514    64.817626   0.15643681 
    7900   -941.43884    47.119228   -894.31961    1687.6399   -1431.6964    2.1571816    59.676426   0.15135963 
    8000   -940.48166    48.951944   -891.52971    1753.2811    213.04541    2.1553081    69.667475   0.15322503 
    8100    -939.1761     53.75548   -885.42062    1925.3264    4985.1372    2.1666907    70.495638    0.1531196 
    8200   -940.86663    47.515621     -893.351    1701.8372   -1968.4351    2.1564949     61.94536   0.14497192 
    8300   -941.42695    50.689888   -890.73706     1815.528   -6467.1158    2.1441921    62.049974    0.1454766 
    8400   -938.60168    55.084855   -883.51682    1972.9398    5097.4402    2.1609169    57.400177   0.15270901 
    8500    -939.0017    47.505403   -891.49629    1701.4713    5611.8164    2.1690074    61.394226   0.15079894 
    8600   -942.96361    50.167919   -892.79569    1796.8329   -9718.1657    2.1387353    63.000332   0.15637989 
    8700   -941.12678    57.291412   -883.83537    2051.9706   -2317.2505    2.1496066      65.0635   0.14963876 
    8800   -942.93959     51.94803   -890.99156      1860.59    9733.0618    2.1907879    63.542553   0.13754077 
    8900   -942.51858    48.172608   -894.34597    1725.3681   -10692.452    2.1368322    67.896918   0.13920188 
    9000   -939.75519    52.250518   -887.50467    1871.4241   -6099.3682    2.1374626    64.508632   0.15236307 
    9100   -941.56241    50.960608    -890.6018    1825.2242    13437.493    2.1927481    60.512196   0.14738329 
    9200    -940.8056    44.418242   -896.38736    1590.9004    2195.5825    2.1670465    62.104848   0.16053833 
    9300   -940.86463    51.148981   -889.71565     1831.971   -8360.9184     2.133903     67.41622   0.15809862 
    9400   -941.33091    54.261586   -887.06932    1943.4532    2116.4262    2.1645254    64.477926   0.15788293 
    9500   -945.61551    49.259562   -896.35595    1764.2989    4616.5627     2.182452    62.261422   0.15122884 
    9600   -940.26789    51.194342   -889.07355    1833.5957   -8525.2912    2.1382167    70.091584   0.15796371 
    9700   -936.55452    49.180563   -887.37396    1761.4694    744.78452     2.153804    63.069685   0.16133169 
    9800    -941.7827    47.592444   -894.19025    1704.5887    4487.7388    2.1745839    63.487494   0.13652271 
    9900   -941.77213    52.316776   -889.45535    1873.7972     -2208.28    2.1545272    66.546407    0.1501275 
   10000   -937.21026    51.559596   -885.65066    1846.6778   -2553.2566     2.143551    65.451075   0.16413709 
   10100   -936.96398    44.250065   -892.71391    1584.8768    3922.6389    2.1622969    59.858858   0.16675304 
   10200   -942.44019    51.693171   -890.74702    1851.4619    1613.1191    2.1651775    60.064695   0.16402164 
   10300   -936.59649    52.858182   -883.73831    1893.1884   -3738.3213    2.1394111    69.970482   0.17138496 
   10400   -943.19638    49.912221   -893.28416    1787.6747    521.99147    2.1658216     65.00294   0.14565927 
   10500    -940.0771    49.760058   -890.31704    1782.2248    3196.9001    2.1638233    60.096475   0.14268739 
   10600   -936.89113    52.831812   -884.05932    1892.2439   -1437.0017    2.1443576    62.675371   0.15431382 
   10700   -943.79215     49.16599   -894.62616    1760.9475    897.19591    2.1715554    63.334598   0.15280394 
   10800   -940.00741    48.428022   -891.57939    1734.5161   -1503.9228    2.1615282    62.723069    0.1586828 
   10900   -937.90559     51.84724   -886.05835    1856.9801   -1156.3001    2.1476948    59.065646   0.15960058 
   11000   -942.97827    47.772933   -895.20534    1711.0532    4363.9834    2.1743598    63.676857    0.1425203 
   11100   -940.89734    47.380011   -893.51733    1696.9802   -600.24273    2.1615118    62.237315   0.15383244 
   11200   -939.82112     51.95736   -887.86376    1860.9242   -5577.2563    2.1485746    64.395412   0.15729909 
   11300   -942.86638     50.29043   -892.57595    1801.2208    1528.8658    2.1736372    55.616295   0.15415199 
   11400    -945.5668    49.357201    -896.2096    1767.7959    2125.4768    2.1806129    64.885658   0.15090618 
   11500   -937.55543    49.625003   -887.93043    1777.3877   -4938.4806    2.1423379    65.873345   0.14688928 
   11600   -941.34703    51.025045   -890.32198    1827.5321   -1109.4997    2.1599303    64.409766    0.1682609 
   11700   -943.86139    48.203708   -895.65768     1726.482    8693.2518     2.190852    61.763021   0.15398611 
   11800   -935.99987     50.88489   -885.11498    1822.5122   -3231.1974    2.1409415    63.362433   0.16328713 
   11900   -939.87299    49.944756   -889.92824      1788.84   -2879.3296    2.1522571    66.852697   0.16050408 
   12000   -943.34974    50.586227   -892.76352    1811.8152    8942.6332    2.1882215    59.749291   0.15295595 
   12100   -938.41869    55.047748   -883.37094    1971.6107   -428.62545    2.1529456    62.839574   0.17498291 
   12200    -937.2872    49.970617   -887.31658    1789.7663   -4185.5659    2.1412649    61.671951   0.16899525 
   12300   -940.22537    47.523919   -892.70145    1702.1344    4240.8243    2.1749862    62.380913   0.17028041 
   12400   -937.89319    49.354327   -888.53886     1767.693    8737.6047    2.1817383    63.068411    0.1741713 
   12500   -936.56393    51.983296   -884.58063    1861.8531    -10074.54    2.1292152    61.566941   0.18768055 
   12600   -941.16633    46.177238    -894.9891    1653.9012   -1108.6944    2.1624726    62.881322   0.15812637 
   12700   -941.64722    52.129297   -889.51792    1867.0824    12372.252    2.1952787    63.500403   0.16065901 
   12800   -938.89017    51.654538   -887.23563    1850.0782   -6916.9656    2.1399012    61.680421   0.16018596 
   12900    -938.2355    45.051007   -893.18449    1613.5637   -11594.066    2.1343737    63.234169   0.16373352 
   13000   -944.59201    50.591052   -894.00096     1811.988    14309.578    2.2033821    60.447944   0.14562169 
   13100   -938.58893     51.11842   -887.47051    1830.8764    2865.7643    2.1654678    65.450421   0.16316638 
   13200   -938.55028    48.435058   -890.11523    1734.7681   -10193.156     2.136051    59.938163   0.15320821 
