LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00101986 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1800   -951.04357            0   -900.78722   -114161.75    5330.9442 
    3200    1893.5133   -941.28432            0   -888.41707   -2284.5729    4687.9854 
Loop time of 2.30342 on 1 procs for 3200 steps with 217 atoms

Performance: 360.091 ns/day, 0.067 hours/ns, 1389.241 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1978     | 2.1978     | 2.1978     |   0.0 | 95.42
Neigh   | 0.053921   | 0.053921   | 0.053921   |   0.0 |  2.34
Comm    | 0.0154     | 0.0154     | 0.0154     |   0.0 |  0.67
Output  | 2.5852e-05 | 2.5852e-05 | 2.5852e-05 |   0.0 |  0.00
Modify  | 0.030864   | 0.030864   | 0.030864   |   0.0 |  1.34
Other   |            | 0.00536    |            |       |  0.23

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    955 ave 955 max 955 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4112 ave 4112 max 4112 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8224 ave 8224 max 8224 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8224
Ave neighs/atom = 37.8986
Neighbor list builds = 91
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.662 | 9.662 | 9.662 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -941.28432    52.867254   -888.41707    1893.5133   -2284.5729    2.1513096            0 6.7450346e-32 
    3300   -940.46254    47.555459   -892.90708    1703.2641    -12013.97    2.1321991   0.03440926   0.12304621 
    3400   -935.01448    45.067574    -889.9469    1614.1571    12373.276    2.1817503   0.15887149   0.10979857 
    3500   -937.41352    55.326545   -882.08697    1981.5962     2766.199    2.1542649   0.17152267   0.12872689 
    3600   -942.01386    50.581213   -891.43264    1811.6356   -9871.9822    2.1393086   0.21899452   0.14532647 
    3700   -941.95953    51.194094   -890.76543    1833.5868    4006.7839    2.1666853    0.3792622   0.11342128 
    3800   -940.66827    57.445562   -883.22271    2057.4917    4885.2998    2.1667131   0.12160199   0.13487774 
    3900   -939.15415    52.252838   -886.90131    1871.5072   -11449.789    2.1249549   0.10229693   0.12527421 
    4000   -941.99036    48.637982   -893.35237    1742.0361   -2799.1553    2.1576419   0.08698608   0.10540769 
    4100   -937.68736    50.554283   -887.13308    1810.6711     12280.85    2.1874077  0.079349826   0.11253705 
    4200   -939.06728    50.963213   -888.10406    1825.3175   -8146.8574    2.1408295  0.044627435   0.11362938 
    4300   -946.10155    48.666653    -897.4349     1743.063   -5053.6201    2.1569802   0.19164987   0.11621629 
    4400   -937.93192    48.207624   -889.72429    1726.6223    10237.808    2.1836087   0.08591607   0.13881244 
    4500   -939.35452     50.95492    -888.3996    1825.0205    -2270.803    2.1540047   0.12964896   0.14545622 
    4600   -943.96763    48.307934   -895.65969     1730.215   -11485.428     2.140674  0.047764101   0.14973609 
    4700   -943.33136    48.710017   -894.62134    1744.6162    6631.9768    2.1869905   0.13817921   0.11942324 
    4800   -937.15046    50.516692   -886.63377    1809.3247    7647.1843    2.1700497   0.10102308   0.13476307 
    4900   -940.07946    48.306733   -891.77273     1730.172   -10923.941    2.1327016  0.042786085   0.10985159 
    5000   -939.30964    44.469203   -894.84044    1592.7256    3918.3339    2.1744065   0.17553691   0.10808316 
    5100   -936.12748     52.32829   -883.79919    1874.2096    10277.411    2.1784482  0.040492733   0.12029216 
    5200    -935.9857    47.989158   -887.99654    1718.7976   -2660.4728    2.1482704   0.29684195   0.13868959 
    5300   -943.47506    50.051179   -893.42389    1792.6517   -5881.5085    2.1518738   0.20790992   0.13649675 
    5400   -939.68989    51.844511   -887.84538    1856.8824    11448.038     2.184242 0.0020127989   0.16511302 
    5500   -936.55299    52.667852   -883.88514    1886.3714    -1724.101    2.1482754   0.42317284   0.15317694 
    5600   -940.62446    46.848578   -893.77588    1677.9462   -6434.6983    2.1490348   0.30745053   0.13124498 
    5700   -940.86155    50.984091   -889.87746    1826.0652    7580.8443    2.1767205  0.029538932   0.12874751 
    5800   -935.89599    51.979762   -883.91623    1861.7266    2377.4253    2.1588409   0.10904961    0.1467307 
    5900   -940.91038    49.540666   -891.36971     1774.367   -9452.9944    2.1377499  0.093329139   0.13415694 
    6000   -941.21713      48.2924   -892.92473    1729.6586   -1382.0914    2.1653462   0.22032959   0.14384443 
    6100   -940.70356    53.956523   -886.74703     1932.527     8669.933    2.1802986  0.085556421   0.15097551 
    6200   -939.91864    49.059268   -890.85938    1757.1251   -6977.3362    2.1419745   0.18620016   0.13340457 
    6300   -947.03416    49.730547   -897.30362    1781.1678   -5344.2213    2.1584987   0.18948988   0.15139249 
    6400   -936.27452    48.174298   -888.10023    1725.4287    10243.315    2.1775169  0.079228842   0.15565828 
    6500   -939.26029     49.36008   -889.90021    1767.8991   -1620.5928    2.1545076   0.14462569   0.14346699 
    6600   -943.74753    45.776456   -897.97108    1639.5467    -6695.833    2.1539747   0.06424733   0.12357524 
    6700   -944.00031    52.984985   -891.01533      1897.73    3143.2898    2.1769313  0.057561099   0.12791655 
    6800    -939.4462    51.916944   -887.52925    1859.4767    3964.9255    2.1662859    0.2516386    0.1242894 
    6900    -940.5996    46.303826   -894.29577    1658.4351    -9380.902    2.1388514   0.46408895   0.14734097 
    7000   -940.33355    50.022035   -890.31151    1791.6079    4523.0899    2.1706084   0.47625345   0.13818994 
    7100   -938.10092    55.002631   -883.09829    1969.9948    10800.483    2.1808195   0.48843086   0.14256264 
    7200   -937.54533    46.751293   -890.79404    1674.4618   -17119.876    2.1117952   0.37081694   0.15080413 
    7300   -937.67927    46.290039   -891.38923    1657.9413   -954.45362    2.1553836   0.23945905   0.15033512 
    7400   -943.44454    56.782759   -886.66178    2033.7525    26499.417    2.2299043  0.020393432   0.12668975 
    7500   -933.58678    49.366916   -884.21986    1768.1439    -13008.94    2.1176945   0.05223081   0.14220853 
    7600   -940.94442    45.481486   -895.46293    1628.9819   -4271.4574     2.155759   0.65881559    0.1227533 
    7700   -942.05981    50.683587   -891.37623    1815.3023    9365.0265    2.1873305   0.23164816   0.13106613 
    7800   -937.48282    49.630055   -887.85276    1777.5686    134.15324    2.1543723  0.049044073   0.12950384 
    7900   -937.91315    51.528458   -886.38469    1845.5625   -8393.4308    2.1340866    0.1060106   0.15016764 
    8000   -942.77417    46.612388   -896.16178    1669.4867    10347.442     2.193139   0.11214145   0.13177658 
    8100   -939.64537    50.118343   -889.52703    1795.0573    1623.4685    2.1625727   0.19599491   0.13921006 
    8200   -941.47976    52.174948   -889.30481    1868.7174   -10913.373    2.1329513   0.28347622   0.11877647 
    8300   -945.12509    47.675088      -897.45    1707.5488    4974.1793    2.1826706   0.20799618   0.10962073 
    8400   -942.91904    49.644207   -893.27484    1778.0755    6279.5042    2.1837381   0.10442823   0.12677927 
    8500   -940.82875    52.016682   -888.81207    1863.0489   -6760.6279    2.1389818  0.095061343   0.12184221 
    8600   -941.11624    49.888512   -891.22773    1786.8256   -4296.6292    2.1523777   0.36087289   0.12522035 
    8700   -945.92848    48.982582    -896.9459    1754.3785     10205.91    2.2005288   0.26500037   0.13812003 
    8800   -940.27327     54.33672   -885.93655    1946.1442   -5244.3663    2.1416698   0.13525954   0.14678626 
    8900   -940.50614    51.421499   -889.08464    1841.7316    -3813.814    2.1490368   0.27771691   0.13018016 
    9000   -942.57907    51.031757   -891.54731    1827.7725    6121.7462    2.1807969   0.28537036   0.12705916 
    9100   -941.81176    45.101993   -896.70976    1615.3898    1290.5222     2.169803   0.13510471   0.13041256 
    9200   -948.13092     43.74431   -904.38661    1566.7625   -5286.6818    2.1693692   0.15546938   0.12366149 
    9300   -941.73573    47.884796   -893.85093    1715.0597    1505.1706    2.1696665  0.076058035    0.1242003 
    9400   -941.46264    50.675289   -890.78735    1815.0051    5429.9186     2.174435   0.28990167   0.12993622 
    9500   -939.02866    49.694874   -889.33378    1779.8902   -6703.4462    2.1492477   0.16658044   0.12841614 
    9600   -934.30786    51.681169    -882.6267     1851.032   -3957.7154    2.1401093    1.1463787   0.19507187 
    9700   -933.27473    54.743308   -878.53142    1960.7068    8398.0646    2.1625733    12.680436   0.15493467 
    9800   -942.75644    55.080545    -887.6759    1972.7854   -3958.2961    2.1493564    14.709427   0.12569012 
    9900   -945.39325      54.3406   -891.05265    1946.2832   -7524.8504    2.1504531    17.611962   0.13433265 
   10000    -944.7895    54.244786   -890.54471    1942.8515    4501.9284    2.1802299    14.076029   0.14560983 
   10100   -932.21763    53.247913   -878.96972    1907.1471     962.7002    2.1410479    13.532576   0.13648603 
   10200    -939.4225    51.960943   -887.46155    1861.0526   -3432.8411    2.1480959    12.730422   0.12288973 
   10300   -940.61802    49.718932   -890.89909    1780.7518     2619.845    2.1650617     17.27349   0.11244981 
   10400   -939.28395    48.739137   -890.54481    1745.6592    3201.1297    2.1660488    15.899751   0.12655065 
   10500   -937.92463    57.677064   -880.24757    2065.7833    -7585.107    2.1290752    16.643192   0.12910363 
   10600   -944.38554    53.788491   -890.59705    1926.5087    3612.7188    2.1753575    15.906162   0.13302512 
   10700   -941.22235    50.217526   -891.00482    1798.6097    1383.8884    2.1620442    16.655767   0.12113624 
   10800   -937.37631    50.019832   -887.35647     1791.529   -5630.0724    2.1382324    15.408042    0.1382144 
   10900   -936.16636    57.503363   -878.66299    2059.5619     645.9394     2.147187    18.313714   0.13037622 
   11000   -941.32479    51.356213   -889.96858    1839.3933    11470.849    2.1895942    16.298035   0.12560344 
   11100   -938.56778    47.391736   -891.17605    1697.4001   -13778.023    2.1261884    15.249401   0.12857717 
   11200   -936.05953    48.518767   -887.54076    1737.7663   -1451.4424    2.1487168    17.610813   0.14384743 
   11300   -946.47527    49.900149   -896.57512    1787.2424    13240.181    2.2062588    15.994571   0.12240081 
   11400   -943.35109    47.774598    -895.5765    1711.1129   -5963.1141    2.1524971     15.89725   0.13178872 
   11500   -942.05868    51.675032   -890.38365    1850.8122   -7937.5475    2.1442797     14.23625   0.12498197 
   11600   -940.81484       53.291   -887.52384    1908.6904    4935.6012    2.1708818    14.771495   0.12446956 
   11700   -944.07568    47.030442   -897.04523    1684.4599     1070.826    2.1694826    15.890291   0.11012018 
   11800   -942.82125    50.111023   -892.71022    1794.7951   -5655.1907    2.1480667    17.318145   0.13495928 
   11900   -942.11204      54.6034   -887.50864    1955.6958    1751.2089    2.1636608    17.440801   0.13450646 
   12000   -942.53473      49.2997   -893.23503    1765.7365    2337.4265    2.1663361    14.484692   0.13031221 
   12100   -944.26464    47.506646     -896.758    1701.5158   -2647.5758    2.1607208    15.200933   0.12746745 
   12200   -937.92631    51.327556   -886.59875    1838.3669   -220.35989    2.1487178    14.683844   0.12764482 
   12300   -941.81088    51.668665   -890.14221    1850.5842    4696.0822     2.173236    14.398944   0.11718021 
   12400   -941.17822    46.226872   -894.95135    1655.6789    431.96208    2.1657468    14.680404   0.12760153 
   12500   -938.04192    53.703838   -884.33808    1923.4767   -8270.9991    2.1287466    14.071331   0.12313744 
   12600   -943.28726    54.692174   -888.59509    1958.8753    8220.5339    2.1875933    13.339489   0.13307395 
   12700   -939.89635    47.619732   -892.27662    1705.5661    2147.4124    2.1645472    16.216095   0.13218366 
   12800   -935.53991    48.145098   -887.39481    1724.3828   -14921.416    2.1146626    19.680462   0.14125096 
   12900     -936.137    53.906719   -882.23028    1930.7432    10046.056    2.1721165    15.608833   0.15550221 
   13000   -942.67155    52.518063   -890.15349    1881.0066    13041.621     2.198077    16.830045   0.13739472 
   13100   -938.15291    45.515655   -892.63725    1630.2057   -16025.267    2.1164563    15.435216   0.12710521 
   13200   -937.70541     52.36667   -885.33874    1875.5842   -655.22466    2.1490702    15.322562   0.12795703 
   13300   -943.48891    51.252796   -892.23612    1835.6893    9030.1102    2.1863757    8.5649725   0.13018407 
   13400   -941.62875    47.900305   -893.72844    1715.6152   -2167.7993    2.1561577    2.7696906    0.1398298 
   13500   -937.95661    52.045471   -885.91114      1864.08   -4238.9595     2.138709    2.9956474   0.16198747 
   13600   -940.24329    49.552959   -890.69034    1774.8073    8153.3473    2.1744789    4.3955522   0.15596309 
   13700   -942.30248    47.887768   -894.41471    1715.1662    75.886008    2.1673501    5.1580526   0.16242497 
   13800   -936.32573    51.286905   -885.03882     1836.911   -7252.4455    2.1280368     5.705772   0.15351814 
   13900   -942.26959    52.501829   -889.76776    1880.4251      2466.46    2.1675657    5.0953122   0.12275377 
   14000   -942.06556    49.591012   -892.47455    1776.1702     8471.113    2.1846795     5.737526    0.1432984 
   14100   -937.22175     52.13178   -885.08997    1867.1713   -8998.8394    2.1326352    5.2860119   0.15246723 
   14200   -941.66376    54.412461    -887.2513     1948.857   -7325.3779    2.1381139    5.9619431   0.14551119 
   14300   -941.10109    48.929426   -892.17167    1752.4746    10962.731    2.1927944    6.6434222   0.14890912 
   14400   -942.91383    58.112174   -884.80166    2081.3673   -3160.9763    2.1540425    6.2642896   0.14923316 
   14500   -935.10859    46.975938   -888.13266    1682.5077   -8876.2505    2.1293707    6.1259181   0.15583268 
   14600   -937.89195    45.075915   -892.81604    1614.4558    8266.1645    2.1740859    4.3448075   0.15221355 
   14700   -932.21552    46.636832   -885.57869    1670.3622    12386.942    2.1735385    5.1123365   0.15176278 
   14800   -934.58614     49.45043   -885.13571    1771.1351   -6951.1267    2.1317327    11.788657   0.16996366 
   14900   -937.78662    45.193114   -892.59351    1618.6535    325.13667    2.1669411    16.035467   0.16243704 
   15000   -938.18743    52.373631    -885.8138    1875.8335    6866.8868    2.1709299    13.700301   0.15159036 
   15100   -940.12929    53.873714   -886.25558    1929.5611   -2111.9571    2.1509852    5.8455312   0.14692605 
   15200   -948.39687    54.213458   -894.18342    1941.7295   -7103.1689    2.1640873    7.8530907   0.15771019 
   15300   -935.94043    49.411631    -886.5288    1769.7454    788.99713    2.1601206    6.8435809   0.16222786 
   15400   -934.42946    47.884336   -886.54513    1715.0433    3810.1147    2.1618343    9.4738934   0.15825715 
   15500   -940.04833    45.421249   -894.62708    1626.8244   -1429.0659    2.1666988    4.9197759   0.16326543 
   15600   -937.90082     51.44098   -886.45984    1842.4293   -349.68853    2.1591777    5.7690307   0.15848409 
   15700    -939.5587    53.135564   -886.42313    1903.1232     2167.542    2.1651358    3.2616963   0.15305425 
   15800   -941.97662    47.921761   -894.05485    1716.3837   -1801.1014     2.164486    2.1451042   0.14669524 
   15900   -938.07774    51.219021   -886.85871    1834.4796   -3498.9825    2.1510809    4.0580536   0.15845443 
   16000   -940.36262    54.998292   -885.36433    1969.8394    1366.3793    2.1622059    2.6541825   0.14662304 
   16100   -946.70243    53.277283   -893.42514    1908.1991     2886.859    2.1791548    1.9654956    0.1438899 
   16200   -936.61334    49.476558   -887.13678    1772.0709   -5522.5056    2.1418863    3.7025355   0.17018538 
   16300    -939.2728    53.642059   -885.63074     1921.264   -4484.6292    2.1486519     3.718894    0.1569019 
   16400    -941.2126    48.301117   -892.91149    1729.9708    9500.0881    2.1881294    5.5056034   0.15945956 
   16500   -936.50158    50.623763   -885.87782    1813.1596   -5147.8832    2.1425915    4.8816805   0.15203026 
   16600   -935.58462    48.801236   -886.78338    1747.8833   -5067.4973    2.1384877    4.9848178   0.13368268 
   16700   -943.08228    49.802966   -893.27932    1783.7616    8379.2104    2.1852368    5.4737091   0.13615659 
   16800   -939.91911    51.908592   -888.01052    1859.1775    4474.8157    2.1694024    5.8518528   0.13676309 
   16900   -934.63131    47.946447   -886.68486    1717.2678   -9421.3946    2.1267267    23.426942    0.1627298 
   17000    -940.4007     45.92802   -894.47268    1644.9751    3950.4092    2.1713532    33.506862   0.15372103 
   17100   -944.77657    55.019901   -889.75667    1970.6133    6765.6542    2.1838644     29.31491   0.13278506 
   17200   -936.69202    50.786488   -885.90553    1818.9878   -2557.3979    2.1412912    31.606758    0.1460481 
   17300   -939.91102    46.382405   -893.52861    1661.2495    -5055.407     2.147526    30.948194   0.15345687 
   17400    -940.7116    50.141868   -890.56973    1795.8999     9046.297    2.1874751    36.638654   0.13708732 
   17500   -933.66608    50.534786   -883.13129    1809.9728    686.19995    2.1451574    34.569069   0.14149938 
   17600   -941.86277    50.316255   -891.54652    1802.1458   -10148.679    2.1343275    37.038876   0.12706946 
   17700   -943.41177     53.40789   -890.00388    1912.8769    6809.3332    2.1803478    39.552017   0.13768976 
   17800   -933.25255    51.872357   -881.38019    1857.8797    6554.0608    2.1590554    36.045881   0.16690056 
   17900   -936.07678    47.702488   -888.37429    1708.5301   -10344.032    2.1256875    31.342741   0.13579486 
   18000   -939.97036    48.626596   -891.34376    1741.6283     1588.796    2.1661736    33.631636   0.14820026 
   18100   -934.75537    51.857824   -882.89755    1857.3592      11027.1    2.1823971    32.858423   0.16699126 
   18200   -934.30064    47.900066   -886.40058    1715.6066   -5121.6971    2.1397165    36.362125   0.16985446 
   18300   -940.39948     46.42856   -893.97092    1662.9027   -2835.1244    2.1605739    32.983621   0.14471774 
   18400   -936.69316    50.312333   -886.38083    1802.0053    3037.2255    2.1637576    24.288833   0.15725634 
   18500    -935.1498    50.534331   -884.61547    1809.9565   -258.01624    2.1487281    51.807067   0.16602693 
   18600   -942.02425    48.908689   -893.11556    1751.7319    -2784.367    2.1610815    36.522801   0.17339213 
   18700   -935.45753    47.370822   -888.08671     1696.651    6149.6797    2.1660932    31.792427   0.16354809 
   18800   -940.91076    57.419471   -883.49128    2056.5572   -2749.1711    2.1525335     33.76968   0.17188973 
   18900   -944.56294    50.538717   -894.02422    1810.1135   -1755.3882    2.1668384    35.035488   0.15226272 
   19000   -940.28608    50.566611   -889.71947    1811.1126   -3903.7631    2.1541281    36.106649   0.13669228 
   19100   -935.76554    51.560838    -884.2047    1846.7222    2111.0026    2.1523947    43.730433   0.14441357 
   19200   -946.17671    51.683814    -894.4929    1851.1268    733.28753    2.1756833    46.955843    0.1046067 
   19300   -940.21437    48.069009   -892.14536    1721.6576   -3191.5846    2.1520657    49.172714   0.14071829 
   19400     -938.819    52.259391   -886.55961    1871.7418   -1065.5671    2.1567243    44.116442   0.14577166 
   19500   -943.78783     49.03532   -894.75251    1756.2673    5277.5792    2.1849507    41.864337   0.14860358 
   19600   -943.43152    49.304471   -894.12705    1765.9073   -4186.0755    2.1588038     43.12435   0.13961669 
   19700   -940.05926    52.274737   -887.78452    1872.2915   -5176.6451    2.1468501    40.401678   0.14740234 
   19800   -941.38036    49.520829   -891.85953    1773.6565    4500.1628    2.1812802    42.953277   0.13280841 
   19900   -943.79616    47.128797   -896.66736    1687.9826    4212.6551    2.1801632    49.319098   0.14751504 
   20000    -937.6623    50.572104   -887.09019    1811.3094   -11353.218    2.1250477    46.850945   0.13400308 
   20100    -944.2959    54.196763   -890.09913    1941.1315    982.84467    2.1703813    45.568489   0.14185587 
